中文片名,外文片名
火線獵殺令,10 MINUTES GONE
萬花嬉春,SINGIN' IN THE RAIN
晚班,LATE SHIFT
黑暗騎士,The Dark Knight
冬天的故事 經典數位修復,Tale of Winter
金魚俱樂部,THE GOLDFISH
血疫,BLOOD QUANTUM
烈火情人,DAMAGE
諜影殺機,The Suspect
深海擴散,SEA FEVER
蝙蝠俠：開戰時刻,Batman Begins
超能追緝,MORTAL
慾望街車,A Streetcar Named Desire
愛情，是開始還是結束,"ENDINGS, BEGINNINGS"
失控特工,Hero
玩命Online：雙槍對決,Guns Akimbo
終極自殺旅店,Suicide Tourist
犬犬風塵,Los Reyes
愛上變身情人,The Beauty Inside
殘酷街頭：暴力實錄,FIST & FURIOUS
鐵線蟲入侵,DERANGED
詭妹,INTRUDER
明信片謀殺案,The Postcard Killings
影裏,Beneath the Shadow
惡棍英雄:死侍,DEADPOOL
絕地救援,THE MARTIAN
少年PI的奇幻漂流,LIFE OF PI
決戰最前線,Journey’s End
阿基米德大戰,THE GREAT WAR OF ARCHIMEDES
盤索里拳手,MY PUNCH-DRUNK BOXER
108～海馬五郎的復仇與冒險～,108：REVENGE AND ADVENTURE OF GORO KAIBA
EYES ON ME : THE MOVIE,EYES ON ME : THE MOVIE
不丹是教室,Lunana: A Yak in the Classroom
戀戀琴聲 ,CODA
混沌之神,LORDS OF CHAOS
新天堂樂園,Nuovo Cinema Paradiso
PJ 哈維：戰地拾音錄,A Dog Called Money
盧貝松之聖女貞德：數位修復版,Joan of Arc
戰鬥少女選擇者 劇場版,Selector destructed WIXOSS
超能西蒙的奇幻旅程,Simon's Got a Gift
綠光 經典數位修復,The Green Ray
捕魔網,Dreamkatcher
福島50英雄,Fukushima 50
阿基拉,AKIRA
看不見的目擊者,THE WITNESS
人皮咒,IMPETIGORE
拂曉,HIS LOST NAME
天后小助理,THE HIGH NOTE
鬼侍女,The Maid
極線生機,ARCTIC
無邪,There is no evil
沉默的羔羊,The Silence of the Lambs
頭號粉絲,The Fanatic
謙虛的英雄,MODEST HEROES
72小時前哨救援,The Outpost
角落小夥伴電影版：魔法繪本裡的新朋友,Sumikkogurashi: Good to be in the corner
超危險駕駛,UNHINGED
戰爭中的鬼故事,GHOSTS OF WAR
星之彩,COLOR OUT OF SPACE
亂世浮生,THE CRYING GAME
假面病棟,Masked Ward
屍速列車 特別版,TRAIN TO BUSAN
里斯本的故事,Lisbon Story
德州電鋸殺人狂前傳：皮面人,LEATHERFACE
藍色恐懼：數位修復版,Perfect Blue
美國隊長3：英雄內戰,CAPTAIN AMERICA: CIVIL WAR
屍人診所,YUMMY
疤面教父,Capone
復仇者聯盟,THE AVENGERS
飢俄人妻,FIDELITY
俘虜,MERRY CHRISTMAS MR LAWRENCE
失眠的北風吹來愛情,The Space Between The Lines
下一站，托斯卡尼,MADE IN ITALY
生為女人,I AM WOMAN
祕密花園,THE SECRET GARDEN
魔鬼剋星,GHOSTBUSTERS
日間演奏會散場時,At The End Of The Matinee
翻供,INNOCENCE
屍速列車：感染半島,PENINSULA
北海小英雄,Vic the viking
全面啟動,Inception
皮行者,THE WRETCHED
魔王的女兒,"Ireesha, The Daughter of Elf-king"
派遣死神事件簿,SHINIGAMI:THE DEATH HANDLER
曼哈頓戀舞曲,Port Authority
陰眼,THE EYES
戀夏時光,SUMMERLAND
Fate_stay night [Heaven's Feel] Ⅲ春櫻之歌,Fate_stay night [Heaven's Feel] Ⅲ. spring song
小森食光／夏秋篇,LITTLE FOREST - SUMMER & AUTUMN -
魔王的女兒,"Ireesha, The Daughter of Elf-king (Chinese dubbing ver.)"
小森食光／冬春篇,LITTLE FOREST - WINTER & SPRING -
魔鬼剋星2,GHOSTBUSTERS II
守靈魘,THE VIGIL
淒厲人僧 前傳,Pee Nak
我們仍未知道那天所看見的花名 劇場版,ANOHANA -THE FLOWER WE SAW THAT DAY THE MOVIE-
咒冥曲,The Sonata
ID4星際終結者,Independence Day
追殺艾娃,AVA
致命窺弒,THE RENTAL
小路與我的秘密驛站,Show Me The Way To The Station
水風景,WATERMARK
屍人莊殺人事件,MURDER AT THE HOUSE OF DEATH
小偷演員,The Stand-in Thief / Dorobô yakusha
蘿莉破壞王,System Crasher
心靈咖啡館的驅魔師,The Real Exorcist
巴亞拉魔幻冒險,Bayala - A Magical Adventure
原本以為只是手機掉了2：被囚禁的殺人魔,STOLEN IDENTITY 2
剪刀手愛德華,Edward Scissorhands
全面啟動10周年紀念版,Inception
6號鬼病床,BED NUMBER 6
家靈,RELIC
秒速五公分,5 CENTIMETERS PER SECOND
雙面追緝,Me and Me
鋼鐵雨：深潛行動,Summit: Steel Rain
法蒂瑪的奇蹟,FATIMA
聖雅各的天空,Camino Skies
鬼爸爸,Ghost Father
爆裂魔神少女,RISE OF THE MACHINE GIRLS
鳥女,Tori Girl
雲之彼端，約定的地方,THE PLACE PROMISED IN OUR EARLY DAYS
地下社會,UNDERGROUND
追逐繁星的孩子,CHILDREN WHO CHASE LOST VOICES
重啟咲良田(前篇),Sakurada Reset Part I
祕密：夢想的力量,THE SECRET：DARE TO DREAM
紐約茶館,The Kindness of Strangers
劇場版 新幹線變形機器人-來自未來的神速ALFA-X,SHINKALION The Movie
記憶拼圖,Memento
初心,André & his Olive Tree
重啟咲良田(後篇),Sakurada Reset Part II
言葉之庭,THE GARDEN OF WORDS
午夜0時的吻,Kiss Me At Midnight
高盧英雄歷險記：魔法藥水,ASTERIX：THE SECRET OF THE MAGIC POTION
禮尚吻來,Make a Bow & Kiss
隱藏的畫家,Hidden Away
天劫倒數,Greenland
八月三十一日，我在奧斯陸,"Oslo, August 31st"
魔鬼對決,Deliver Us From Evil
最後的情書,Last Letter
捉魂鏡,BEHIND YOU
棕櫚泉不思議,PALM SPRINGS
太陽之家,Family Bond
變種人,THE NEW MUTANTS
TENET天能,TENET
東京教父:4K數位修復版,TOKYO GODFATHERS
霜花店：朕的男人,A Frozen Flower
㊣麥肯齊金總理秘史♂,The Twentieth Century
人造紀元：走進人類世,ANTHROPOCENE：THE HUMAN EPOCH
美麗佳人歐蘭朵 跨世紀重映,Orlando
星光王子 舞台Over the Sunshine!,KING OF PRISM Musical Over the Sunshine!
玉子愛情故事,TAMAKO LOVE STORY
星光王子 舞台Rose Party on Stage 2019,KING OF PRISM Musical Rose Party on Stage 2019
星光王子 舞台Shiny Rose Stars,KING OF PRISM Musical Shiny Rose Stars
玩美女人 經典數位修復,Volver
愛情列車長,Time For Love
看不見的證人,Invisible Evidence
鋼琴師,Shine
馬拉薩尼亞32號陰宅,32 MALASANA STREET
森林特攻隊：大腳丫家族,Bigfoot Family
特務搞飛機,OK! Madam
解密達文西,AMAZING LEONARDO
舞台 刀劍亂舞 悲傳 結目不如歸,Touken Ranbu the Stage
壞教慾 經典數位修復,Bad Education
退休大贏家,Joyeuse Retraite !／Just Retired！
顫役輪迴,ANTEBELLUM
刑警沒有假期,THE GOLDEN HOLIDAY
窒愛診療室,Dogs Don't Wear Pants
高跟鞋 經典數位修復,High Heels
我的親親小妹,My Little Sister
倒數反擊,HONEST THIEF
BRING THE SOUL: THE MOVIE(SPECIAL EDITION),BRING THE SOUL: THE MOVIE
寂寞調香師,Les parfums
附身符,AMULET
教會,THE MISSION
整容液,Beauty Water
我是大哥大!!劇場版,"From Today, It’s My Turn!!:The Movie"
中央車站:數位修復版,Central do Brasil
手塚治虫迷幻少女,Tezuka's Barbara
電影哆啦A夢：大雄的新恐龍,DORAEMON THE MOVIE：NOBITA'S NEW DINOSAUR
不傻不愛,LAST FOOL SHOW
黑色校規,BLACK SCHOOL RULES
鋼鐵女孩：最後戰役,IRON GIRL FINAL WARS
悄悄告訴她 經典數位修復,Talk to Her
聲魔入侵,The Intruder
交響狂人,Crescendo
巴黎應召日記,Alice
他們的自由年代,Spider
情慾對決,THE SERVANT
密弒直播,FOLLOW ME
BREAK THE SILENCE: THE MOVIE,BREAK THE SILENCE: THE MOVIE
約會大作戰 赤黑新章：虛或實,DATE A BULLET：DEAD OR BULLET
破碎的擁抱 經典數位修復,Broken Embraces
真情甲尬意,ANG DALAWANG MRS. REYES
搖擺艷夏,SUMMER SWAY
名偵探奶奶,OH! MY GRAN
重裝救援：全境獵殺,ROGUE
夜訪羅浮宮：達文西特展,A NIGHT AT THE LOUVRE: LEONARDO DA VINCI
《少女與戰車 最終章》第２話,Girls und Panzer das FINALE Part 2
異端鳥,The Painted Bird
藥頭大媽,Mama Weed
麻雀放浪記2020,A GAMBLER'S ODYSSEY 2020
工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,CELLS AT WORK!! Special Screening Edition
阿公當家,THE WAR WITH GRANDPA
無價之保,Pawn(Collateral)
莉拉的奇幻冒險,Lila'sBook
皮爾卡登：迷戀未來的人,HOUSE OF CARDIN
叢林拳霸,JUNGLEE
性之劇藥,Dangerous Drugs of Sex
遺落夢境,THE COMA
殺戮荒村,BACURAU
星際效應,INTERSTELLAR
DJ SNAKE - THE CONCERT IN CINEMA,DJ SNAKE - THE CONCERT IN CINEMA
紫羅蘭永恆花園電影版,Violet Evergarden the Movie
異星物語,PROXIMITY
特斯拉,Tesla
恐怖份子製造國度,THE DAY SHALL COME
情攝大師,Helmut Newton: The Bad and the Beautiful
《少女與戰車 最終章》第1+2話,Girls und Panzer das FINALE Part 1 and Part 2
電影 哆啦A夢：大雄的金銀島,DORAEMON THE MOVIE NOBITAS TREASURE ISLAND 2018
辛比的怪怪屋 劇場版：幽靈獵人 天空大進擊,"The Haunted House: Sky Goblin, The Great Jormungandr (Mandarin ver.)"
被告,THE ACCUSED
幸運女神,LA DEA FORTUNA (THE FORTUNE GODDESS)
His,His
阿比阿弟尋歌大冒險,BILL & TED FACE THE MUSIC
辛比的怪怪屋 劇場版：幽靈獵人 天空大進擊,"The Haunted House: Sky Goblin, The Great Jormungandr"
劇場版 高校艦隊,HIGH SCHOOL FLEET THE MOVIE
奪命守門人,The Doorman
感官世界,In The Realm Of The Senses
浴血劍客,THE SWORDSMAN
逃亡的女人,The Woman Who Ran
男人的一半還是男人,My Own Private Idaho
婊兄弟上路,The Climb
狄更斯之塊肉餘生記,THE PERSONAL HISTORY OF DAVID COPPERFIELD
地下弒的秘密,THE SECRET WE KEEP
英國國家美術館：高更特展,GAUGUIN FROM THE NATIONAL GALLERY LONDON - EXHIBITION EVENT
愛情是什麼,JUST ONLY LOVE
詭憶,DIVA
一家之煮,ABE
紙花,Paper Flower
綁票追殺令,Hard Kill
地獄通話,THE CALL
女巫們,THE WITCHES
惡童當街 經典重映,TEKKONKINKREET
碧藍之海劇場版,Grand Blue Dreaming
迷慾東京,LOST GIRLS AND LOVE HOTELS
鬼滅之刃劇場版 無限列車篇,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train
愛在午夜希臘時,Before Midnight
你是豬,BABI
綠洲：數位經典版,OASIS
飆速宅男,YOWAMUSHI PEDAL: UP THE ROAD
游牧人生,Nomadland
緝毒風暴,Just 6.5
85年的夏天,Summer of 85
怵目驚魂28天,Donnie Darko
未來的我們,No Hard Feelings
火線情深,THROUGH THE FIRE
謎宮,INTO THE LABYRINTH
名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,Detective Conan: The Scarlet School Trip
老公不是人,Night of the Undead
鬼才狂想曲,WHY ARE WE CREATIVE？
入魔,BLUMHOUSE’S THE CRAFT: LEGACY
大法師：公開完整版,The Exorcist
收屍人,VOICE OF SILENCE
摯愛之路,DNA
海邊的異邦人,L'étranger de la Plage
愛在日落巴黎時,Before Sunset
愛在黎明破曉時,Before Sunrise
槍手養成班,CHEAT INDIA
GIVEN~被贈與的未來 劇場版,"Theatrical Animation ""Given"""
說不出的告別,Blackbird
弒膽遊戲,The 100 Candles Game
藥命時空,SYNCHRONIC
宅在瘟疫蔓延時,Tales of the Lockdown
異星佔領,OCCUPATION
我的媽媽開GAYBAR,Stage mother
換人殺砍砍,FREAKY
Miss,Miss
瘋狂理髮師:倫敦首席惡魔剃刀手,Sweeney Todd: The Demon Barber of Fleet Street
逃,RUN
菜英文沒在怕,SAMJIN COMPANY ENGLISH CLASS
愛麗絲與夢幻島,COME AWAY
慾望摩天輪,JUMBO
讓我聽見你的聲音,LET ME HEAR YOUR VOICE
總是有個人在愛你,LITIGANTE
人性爆走課,Ròm
靈魂急轉彎,Soul
只有悲傷才是美麗的,Icarus. The legend of Mietek Kosz
行動代號：熱狗,HOT DOG
愛在末路之境,THE CORNERED MOUSE DREAMS OF CHEESE
鹿兒流浪記,AILO'S JOURNEY
盜墓同盟,Collectors
消失的星期三,Gone Wednesday
水漾的女人,Undine
謎樣事件簿,THE STRANGE ONES
尋找小魔女Doremi,Looking For Magical DoReMi
女王特大號,DUMPLIN
純淬：橄欖油的原鄉,VIRGEN & EXTRA
求婚好意外,Happiest Season
聖羅蘭：時尚影子的人生,CELEBRATION
外星異種,SPUTNIK
透視畫男孩，全景畫女孩,"Georama Boy, Panorama Girl"
甲子園：夢想競技場,KOSHIEN: JAPAN’S FIELD OF DREAMS
食人少年幫,PIRANHAS
追殺胖老爹,Fatman
鬼弒訊,HOST
古魯家族：新石代,THE CROODS: A NEW AGE
再次相遇的日子,DA CAPO
青春：第50屆日本全國高中棒球錦標賽,Youth: The 50th National High School Baseball Tournament
尋找小魔女Doremi 中文版,Looking For Magical DoReMi
神力女超人1984,WONDER WOMAN 1984
焦燥,ANTICIPATION
搖滾變色龍：大衛鮑伊,Stardust
午夜天鵝,Midnight Swan
魔物獵人,MONSTER HUNTER
再見街貓BOB,A GIFT FROM BOB
想見你的愛,YOUR EYES TELL
瑜珈怨,THE CURSED LESSON
順其自然的日子,Happy Go Lucky Days
約會大作戰 赤黑新章：紅或白,DATE A BULLET：NIGHTMARE OR QUEEN
我的袋鼠室友,The Kangaroo Chronicles
信用詐欺師JP:公主篇,THE CONFIDENCEMAN JP-Episode of the Princess-
監幽,HIDDEN ATTACK OF THE DEAD
說唱藝人：希望之聲,The Singer
海豚總動員,Magic Arch
新解釋．三國志,THE NEW INTERPRETATION OF THE THREE KINGDOM SAGA
喬瑟與老虎、魚,Josée
破處那件小事,"God, You're Such a Prick"
花漾女子,PROMISING YOUNG WOMAN
魔睡,MASUI
鬼巢,THE NEST
她們玩到掛,Wishlist
高校棋蹟,Critical Thinking
卡薩諾瓦的情人,MR. CASANOVA
純真誘惑,PURE AS SNOW
野蠻糾碴隊,Welcome To The Jungle
戀愛進行弒,BAD MATCH
妄想代理人：前篇,Paranoia Agent PART 1
妄想代理人：後篇,Paranoia Agent PART 2
聖誕殺戮日,Silent Tokyo
來者弒客,THE OWNERS
春情蕩漾,GURA GURA
惡水真相,Minamata
比得兔兔,Peter Rabbit 2
偷畫男孩,THE GERMAN LESSON
舊愛靈靈妻,BLITHE SPIRIT
坑爹大作戰,ACCIDENTALLY DAD
幽靈戰場,Recon
哲人王：李登輝對話篇,Philosopher King - Lee Teng-hui's Dialogue
真愛鄰距離,Wild Mountain Thyme
愛是您·愛是我,Love Actually
廢青四重奏,JUNCTION 29
通靈駕訓班,Extra Ordinary
媽呀！我餓了,Deli Man
無名弒,NOBODY
空中謎航,Horizon Line
末路狂奔,DREAMLAND
少女墮落日記,I WILL NEVER FORGIVE
末世戰疫：鳴鳥檔案,SONGBIRD
我啊，走自己的路,"Ora, Ora Be Goin Alone"
惡靈春夢,SHIORI'S NAUGHTY DREAMS
致命天際線,SHADOW IN THE CLOUD
穿越時空遇見妳,TIME TRAVEL SEX
不可侵犯：溫斯坦性醜聞,UNTOUCHABLE
死亡醫生的遺產-BLACK FILE-,The Legacy of Dr. Death
天空鯊：納粹終極武器,SKY SHARKS
一步一步的愛,STEP
異種獵殺,ANTI-LIFE
妻子的祕蜜,A SECRET OF MY WIFE
龍貓,My Neighbor Totoro
你的情歌,YOUR LOVE SONG
88海水浴場,"Father, Son, and the Beach"
台北物語2-獲利者,STORY IN TAIPEI 2 ， FOR MONEY
柯俊雄的電影人生,Ko Style l Movie Style l Life Style
家庭式,No Flowers or Seasons
次日死者,"THE DEAD, THE DAY AFTER"
有鬼,nobody
美好鞋奏曲,Sweet Horizon
練愛iNG,ACTING OUT OF LOVE
日子,Days
女鬼橋,The Bridge Curse
我不流行二十年,Ga-Tau Chang
回家的理由,The reason why I’m home.
可不可以，你也剛好喜歡我,Do you love me as I love you
藍色獨白,Inside Blue
重回17,Back to 17  again
老娘就要這麼活,Rock on !  The Pom Pom Asan !
男人與他的海,Whale Island
東海書苑,Thusbook
悲情城市,A City of Sadness
斌斌,BIN BIN
現場·戰場·夢工場,LIVE IN LIVE
親愛的房客,Dear Tenant
期末考,Final Exam
蘚的歌唱 數位影音實驗式,An ode to Moss-a musical immersive experiment
醬狗,Jang-Gae: The Foreigner
天賦,AGAINST MY WORLD
起司蛋糕,CHEESE CAKE
媽！我阿榮啦,Eclipse
逃出立法院,GET THE HELL OUT
破處,Leaving Virginia
打噴嚏,A Choo
屍憶,THE BRIDE
紅衣小女孩,THE TAG-ALONG
消失的情人節,My Missing Valentine
恐怖份子,TERRORIZES
哈囉少女,Girl’s Revenge
阿紫,The Good Daughter
逆者,The Road Less Traveled
本來面目,Master Sheng Yen
我的兒子是死刑犯,Me and My Condemned Son
詭絲,SILK
停車,Parking
郭雪湖：望鄉三態,Kuo Hsueh-Hu: the Three States of Home Gazing
海口,Mr.Hai-Kou
URS27W台北大稻埕都市再生,URS27W
怪胎,i WEiRDO
腿,a Leg
馗降：粽邪2,The Rope Curse 2
刻在你心底的名字,Your Name Engraved Herein
明晚空中見,THE MOON IS ALWAYS FULL
同學麥娜絲,Classmates Minus
海霧,Abyssal Spider
星際大騙局之登月計劃,Great Hoax: The Moon Landing
散散心,A Joy Ride
最後的91天,The Last 91 Days
迷走廣州,Mickey On The Road
無聲,The Silent Forest
千年一問,Chen Uen
代幣,Token
親愛的殺手,BE ALIVE JUST LIKE YOU
ＸＸ不宜,XXXMOG!
木蘭特工之藏寶圖,Mulan Angels - Treasure Map
十二夜2：回到第零天,Twelve Nights 2: Back to Day Zero
嗨！神獸,Hello! Tapir
戀愛好好說,Love Talk
愛.殺,Wrath of Desire
孤味,Little Big Women
最後一杯蛋蜜汁,The Last Order
少女小漁,Siao Yu
阿查依蘭的呼喚,The Way Home
囍宴機器人,Mechanical Souls
卡卡囌卡卡衝,Cut the crap! Be My Wife
不想1個人,Leave me alone
刻在你心底的名字,Your Name Engraved Herein
迷失安狄,Miss Andy
海市,Grandpa’s clock
揭大歡喜,As We Like It
愛別離苦,Love Without Clutching Leave Without Guilt
無言的山丘,Hill of No Return
少年阿堯,Growing Pains
叱咤風雲,Nezha
換口氣好呼吸,A Breath of Fresh Air:Taichung's Battle with smog
光計畫,Guang War Plan
聽見臺灣,Sounds of Taiwan: A Symphony by Bao Yuankai
