中文片名,外文片名
大鼻子情聖,CYRANO DE BERGERAC
熱帶雨,Wet Season
咒怨2 電影版,JU-ON 2
謎夜拼圖,Only The Animals
親愛的莎瑪,For Sama
鬼眼逼人,DEMON EYE
黑水風暴,DARK WATERS
失戀殺人：三角禁戀,LOST LOVE MURDER
愛情人形,Romance Doll
咒怨 電影版,JU-ON
吸血黏土,VAMPIRE CLAY
大整形家,MANRIKI
變身特務,Spies in Disguise
深海終劫站,UNDERWATER
絕地戰警FOR LIFE,BAD BOYS FOR LIFE
杜立德,DOLITTLE
李察朱威爾事件,RICHARD JEWELL
姊魅,HEX
只想受到你的歡迎,KIMIMOTE
電影版 輝夜姬想讓人告白～天才們的戀愛頭腦戰～,KAGUYA-SAMA：LOVE IS WAR
我們的7日戰爭,Seven Days War
青春催落去,START-UP
1917,1917
你好‧愛‧再見,"HELLO, LOVE, GOODBYE"
紳士追殺令,THE GENTLEMEN
全境失控,AI Amok
失控少年兵團,MONOS
娘娘腔日記,DIARY OF TOOTSIES THE MOVIE
鬼魅之家,Home Sweet Home
我們的相愛時光,The Souvenir
猛禽小隊: 小丑女大解放,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)
鏡中驚魂,LOOK AWAY
逃出夢幻島,Fantasy Island
古曼童,KUMANTHONG
我的寶貝男孩,Honey Boy
少年阿罕默德,Young Ahmed
瑰麗卡萊爾：浮華紐約,ALWAYS AT THE CARLYLE
就愛斷捨離,Happy Old Year
閃閃小超人電影版,SAMSAM
雨天 . 紐約,A Rainy Day in New York
"超""人""氣動物園",SECRET ZOO
電影音效傳奇：好萊塢之聲,Making Waves
怨咒,The Grudge
殺不了的他和死不了的她,"HE WON'T KILL, SHE WON'T DIE"
羅密歐與茱麗葉(馬修．伯恩精選),MATTHEW BOURNE'S ROMEO AND JULIET - DANCE
天鵝湖(馬修．伯恩精選),MATTHEW BOURNE'S SWAN LAKE - DANCE
另類神父,Corpus Christi
絕命大平台,The Platform
導演先生的完美假期,It Must Be Heaven
戰慄魔胎,HOUSEWIFE
千日千夜,About Endlessness
戰慄糖果屋,GRETEL AND HANSEL
哥布林殺手：GOBLIN'S CROWN,GOBLIN SLAYER-GOBLIN’S CROWN-
陰櫥,THE CLOSET
吞噬,Swallow
音速小子,SONIC THE HEDGEHOG
極地守護犬,The Call of the Wild
艾瑪﹒,EMMA﹒
劇場版 不起眼女主角培育法 Fine,SAEKANO THE MOVIE：FINALE
大畫特務,HITMAN: Agent Jun
牆內的房客,GIRL ON THE THIRD FLOOR
1/2的魔法,ONWARD
寄生上流：黑白版,Parasite
明明會說話,Mr. Zoo
隱形人,THE INVISIBLE MAN
羅生門,Rashomon
真實,THE TRUTH
鳴鳥不飛：烏雲密布,Twittering Birds Never Fly ~The Clouds Gather
複製柔伊,My Zoe
抽屍剝繭,Cut off
囚愛之家,MATRIARCH
罪樂園,The Promised Land (2019)
不愛鋼琴師,LARA
聲入奇境：經典配樂大師,IN THE TRACKS OF - SPECIAL EDITION
通靈少年2020,Necromancer 2020
記憶屋,KIOKUYA
大地蜜語,HONEYLAND
人為什麼活著：蓮如上人與吉崎大火,WHY WE LIVE?
鋼鐵勳章,The Last Full Measure
託陰2：布拉姆回來了,Brahms: The Boy 2
電影版 地獄少女,HELL GIRL
刺激1995,The Shawshank Redemption
我，最親愛的,Goodbye Mother
婚姻大崩壞,DOWNHILL
我出去醫下,A Good Doctor
南山的部長們,THE MAN STANDING NEXT
星光王子 星光時尚秀 BEST10,KING OF PRISM ALL STARS PRISM SHOW BEST 10
安雅的回家路,Waiting for Anya
迷雁返家路,Spread Your Wings
血衛,Bloodshot
神之一手：鬼手篇,THE DIVINE MOVE 2：THE WRATHFUL
搖滾師匠：細野晴臣,No Smoking
最後晚安曲,Lullaby
Re：從零開始的異世界生活-外傳篇章電影,Re:Zero − Starting Life in Another World Memory Snow OVA/Re:Zero − Starting Life in Another World Frozen Bonds OVA
抓住救命稻草的野獸們,Beasts Clawing at Straws
馴悍記,THE TAMING OF THE SHREW
好萊塢殺人事件：曼森血案,THE HAUNTING OF SHARON TATE
奧斯卡配樂大師：亞歷山大戴斯培,In The Tracks of Alexandre Desplat
第六感生死戀,Ghost
花木蘭,MULAN
我的英雄學院劇場版：英雄新世紀,My Hero Academia: Heroes Rising
熊熊大作戰,The Bears' Famous Invasion
魔髮精靈唱遊世界,TROLLS WORLD TOUR
我的失蹤爸爸,UNDER ONE UMBRELLA
依然相信,I STILL BELIEVE
絕命直播,Line of Duty
一報還一報,MEASURE FOR MEASURE
火口的二人,It Feels So Good
搭火車旅行好吃驚,Advantages of Travelling by Train
噤界II,A Quiet Place Part II
謝謝你愛過我,BABYTEETH
馬丁伊登,Martin Eden
我的學生都是配樂大師,The Maestro
仲夏夜之夢,A MIDSUMMER NIGHT'S DREAM
知道天空有多藍的人啊,HER BLUE SKY
被遺忘的人生,The invisible life of Euridice Gusmao
最初的晚餐,THE FIRST SUPPER
帕華洛帝：世紀男高音,PAVAROTTI
如果我擁抱你請不要害怕,VOLARE
猛鬼大師收工沒?,Ghost Master
無聲救援,RESISTANCE
巴黎寂寞不打烊,"SOMEONE,"
亨利五世,HENRY V
電影版我的英雄學院：兩個人的英雄,My Hero Academia: Two Heroes
假面騎士－ 令和時代的開端,KAMEN RIDER REIWA THE FIRST GENERATION
在你身邊,THE SPECIALS
間諜速成班,My Spy
女聲我最美,Military Wives
小魔花,Little Joe
東京喰種S,TOKYO GHOUL 'S'
築夢奇蹟,Dreambuilders
冤鴦大盜,The Exchange
犬鳴村,HOWLING VILLAGE
靠北少女,Not Quite Dead Yet
戀愛倒帶中,ON A MAGICAL NIGHT
這一刻，想見你,In My Heart
現屍報,Morgue
緣來想見妳,IAM HERE
浪人47愁錢中,The 47 Ronin in Debt
政客誠實中,HONEST CANDIDATE
罪：米開朗基羅,Sin
長沙里之戰：被遺忘的英雄,BATTLE OF JANGSARI
搞鬼,I SEE YOU
你的鳥兒會唱歌,AND YOUR BIRD CAN SING
全境入侵,THE UNTHINKABLE
數碼寶貝 LAST EVOLUTION 絆,DIGIMON ADVENTURE: LAST EVOLUTION KIZUNA
噬血達琳,DARLIN'
初戀,FIRST LOVE
居禮夫人：放射永恆,Radioactive
鑰命監獄,Escape from Pretoria
無聲革命,The Silent Revolution
訂製幸福滋味,Love Sarah
末日異戰,INVASION
惡之華,The Flowers of Evil
蜈蚣降,THE QUEEN OF BLACK MAGIC
監禁100呎,10x10
二階堂家物語,The Nikaidos' Fall
見鬼的戀愛季節,Low Season
我的粉紅人生,THE SKY IS PINK
陪你玩最大,The Best is Yet to Come
流感,THE FLU
皮諾丘的奇幻旅程,Pinocchio
海邊走走,Hope Gap
說再見前的30分鐘,Our 30 Minutes Session
奇蹟救援,THE CAVE
觸不到的愛,ENDLESS
春天的故事 經典數位修復,A Tale of Springtime
日暮,Sunset
聽教父的話,The Mayor of Rione Sanità
彗星美人,ALL ABOUT EVE
鎖命佈局,INHERITANCE
罪人的控訴,The Collini Case
怨鈴,STARE
雷曼兄弟三部曲,THE LEHMAN TRILOGY
壞教育,Bad Education
劇場版 白箱,SHIROBAKO
正在相愛嗎?,Are You in Love?
閉嘴！彈琴,SHUT UP AND PLAY THE PIANO
夏天的故事 經典數位修復,Summer Tale
末代皇帝,The Last Emperor
黑暗戰域,THE BLACKOUT
奪命隧道,The Tunnel
完美嬌妻養成班,How to Be a Good Wife
猛鬼樂園,TOSHIMAEN：HAUNTED PARK
永不放棄：詹姆斯艾利森,Jim Allison: Breakthrough
血色羔羊,THE OTHER LAMB
淒厲人僧,PEE NAK 2
吾子吾弟,ALL MY SONS
樂在當下,PRESENT LAUGHTER
巴黎野玫瑰,Betty Blue
喪屍來鬥陣,Zombie Fighter
賭博默示錄：最終遊戲,KAIJI：FINAL GAME
指揮巨星亞尼克,Ensemble
奪魂索,Ropes
敢殺就來,The Dare
我的A級秘密,CAN YOU KEEP A SECRET?
現在，很想見你,BE WITH YOU
惡夜救援,SURVIVE THE NIGHT
靈異405號房,LINGERING
愛美獎行動,Misbehaviour
謊畫情人,The Burnt Orange Heresy
雙面遊戲,Last Moment of Clarity
大娛樂家,THE GREATEST SHOWMAN
波希米亞狂想曲,Bohemian Rhapsody
羅根,LOGAN
親愛的小孩,Son-Mother
絕殺慕尼黑,3 SECONDS
放飛大丈夫,I CAN QUIT WHENEVER I WANT
秋天的故事 經典數位修復,Autumn Tale
北非諜影,Casablanca
超完美社區,VIVARIUM
詩情攝慾,CURIOSA
普立茲記者,MR JONES
慾火烈愛,Shape Of Red
殺機疑雲,STATE LIKE SLEEP
彼得漢德克：我在森林，晚一點到,"Peter Handke-In the woods, might be late"
黑暗騎士：黎明昇起,The Dark Knight Rises
最瘋狂的旅程,COME AS YOU ARE
親愛陌生人,Das perfekte Geheimnis
非常母親,MOTHER
當愛再來的時候,Gloria Mundi
銀翼殺手最終版,BLADE RUNNER: THE FINAL CUT
