中文片名,外文片名
救愛之歌,HELPLESS SONGS
殺戮輪迴,Lucky
媽哩媽哩烘,Not My Mother's Baking
父親,The Father
勇抱大地,LAND
環保少女：格蕾塔,I AM GRETA
慾望法則 經典數位修復,La ley del deseo
她的名字,CALL MY NAME
LIP×LIP 享受這世界的方法,LIP×LIP FILM×LIVE
驢子當家,DONKEY KING
玩命鈔劫,WRATH OF MAN
銀魂 THE FINAL_國語版,Gintama the Very Final
人妻家庭教師,HOUSEWIFE TUTOR
抓狂演訓班,The Big Hit
靈異詭店,THE NIGHT
電影版 嬌妻出沒注意,Caution! Hazardous Wife : The Movie
外遇遊戲,RONDO
猶大與黑色彌賽亞,JUDAS AND THE BLACK MESSIAH
烘焙家之味,ESAU
販膚走卒,The Man Who Sold His Skin
薄荷糖,Peppermint Candy
惡夜殺神,VANQUISH
操控,EVERY BREATH YOU TAKE
我來自北韓 我想回平壤,Shadow Flowers
舞慾情狂,Dangerous Dancing
迴憶,Recalled
裸體午餐,NAKED LUNCH
今晚來點史密斯,Shoplifters of the World
真．鮫島事件,The Samejima Incident
死亡漩渦：奪魂鋸新遊戲,Spiral: From the Book of Saw
妻子的101次結婚,WIFE FOR HIRE
瀕臨崩潰邊緣的女人 經典數位修復,Mujeres al borde de un ataque de nervios
催魂頻率,THE HYPNOSIS
如果雨之後,WAITING FOR RAIN
劇場版情色小說家~Playback~,PORNOGRAPHER:PLAYBACK
布吉闖籃關,BOOGIE
紅色房間之惡女七星級,THE WICKED MOEBIUS WOMAN：THE RED ROOM
手塚治虫之大都會 問世20年台灣首度大銀幕上映,OSAMU TEZUKA’S METROPOLIS
一級任務,VOYAGERS
阿依達的救援行動,"QUO VADIS, AIDA?"
那些要我死的人,THOSE WHO WISH ME DEAD
劇場版 妄想學生會2,SEITOKAI YAKUINDOMO 2 THE MOIVE
陰森,The Toll
秘藥,Charlatan
玩命關頭9,FAST & FURIOUS 9
天外者,GODAI-THE WUNDERKIND(TENGARAMON)
夫妻倫理學,ETHOLOGY OF ONE COUPLE
死亡連鎖,INITIATION
無名世界的片尾曲,The Master Plan
鬼護士,The Power
BanG Dream! Episode of RoseliaⅠ約定,BanG Dream! Episode of Roselia Ⅰ：Promise
破碎的瞬間,My Blood & Bones in a flowing Galaxy
誰是外星人,There is an Alien Here
亞馬遜守護者：安珀傳奇,AINBO：SPIRIT OF THE AMAZON
告白,CONFESSIONS
惡靈陷阱,IN THE TRAP
獵殺戰場,MONSTERS OF MAN
小王子公主心,Little Girl
私慾帳號,Ura Aka - L'Aventure
出軌風暴,Appearances
相撲道,Sumodo
燕尾蝶：數位經典版,Swallowtail Butterfly
人聲,The Human Voice
齊瓦哥醫生,Doctor Zhivago
時尚惡女：庫伊拉,CRUELLA
金甲部隊,FULL METAL JACEKT
貝加爾湖隱居札記:在這喧囂的世界，一個人到西伯利亞森林住半年,IN THE FORESTS OF SIBERIA
我造了什麼孽 經典數位修復,QUE HE HECHO YO PARA MERECER ESTO!
鬼保母,BABA YAGA：TERROR OF THE DARK FOREST
《爆裂戰警》,SHORTA
罪之聲,THE VOICE OF SIN
四百擊,The 400 Blows
強運燒肉饌,Food Luck
噤界II,A QUIET PLACE PART II
厲陰宅3：是惡魔逼我的,THE CONJURING:THE DEVIL MADE ME DO IT
哈樂黛的愛與死,THE U.S. vs BILLIE HOLIDAY
修女夜難熬 經典數位修復,Entre tinieblas
線：愛在相逢時,THREADS-OUR TAPESTRY OF LOVE
群青戰記,Brave -Gunjosenki-
她的迴轉練習,Slalom
第六感追緝令 4K修復版,Basic Instinct
雙面法蘭茲,Frantz
紐約高地,In the Heights
魔境夢遊,Alice in Wonderland
花束般的戀愛,WE MADE A BEAUTIFUL BOUQUET
是誰得手林布蘭？,My Rembrandt
大眾情人之死,DEATH Of LADIES' MAN
水星領航員ARIA The CREPUSCOLO,ARIA The CREPUSCOLO
心悸效應,Run
愛情遺跡,LUXOR
無人之境,SHADES OF THE HEART
偷天俠盜團,THE MISFITS
密室中的少女,NAKED ANGEL：THE RED ROOM
迷慾天使,THE BUTTERFLY COLLECTOR：THE RED ROOM
瀧澤歌舞伎 ZERO 2020 THE MOVIE,TAKIZAWA KABUKI ZERO 2020 THE MOVIE
金派特務,MISSION: POSSIBLE
雙面薇若妮卡 經典數位修復,The Double Life of Veronique
紅色情深 經典數位修復,Three Colours：Red
引言,Introduction
終極王者,Born a Champion(Mickey Kelley)
疾凍救援,THE ICE ROAD
韓國校園恐怖怪談：點名沒到的學生,Strange School Tales: The Child
革命前夕的摩托車日記,THE MOTORCYCLE DIARIES
為你找個家,NOWHERE SPECIAL
老師！你會不會談戀愛,"You're Not Normal, Either!"
衝鋒戰士劇場版：翁法洛斯島的秘密,Hello Carbot Movie：The Secret Of Omphalos Island
潛艦危機倒數,U-235
奔馳吧！小馬王,SPIRIT UNTAMED
路卡的夏天,LUCA
驅魔禁區,DEMONIC
白色情迷 經典數位修復,Three Colors：White
怪物奇兵 全新世代 ,SPACE JAM: A NEW LEGACY
淘寶少年,SUN CHILDREN
愛戀依存症,ARARAT
未來之書,THE BOOK OF VISION
黑寡婦,BLACK WIDOW
理髮師的男人 經典數位修復,The Hairdresser's Husband
太陽出來之後,Under the Open Sky
怪奇大廈,THE NIGHT SHIFT
藍色情挑 經典數位修復,Three Colors：Blue
回憶三部曲,MEMORIES
倒楣性愛和瘋狂A片,BAD LUCK BANGING OR LOONY PORN
瑪雅蜜蜂大冒險：守護小金蛋,Maya The Bee Movie 3 - the Golden Orb
寶貝老闆：家大業大,THE BOSS BABY:FAMILY BUSINESS
叢林奇航,Jungle Cruise
極速引爆,HARD HIT
刺客密令,THE PROTÉGÉ
特種部隊:蛇眼之戰,SNAKE EYES: G.I. JOE ORIGINS
無限殺戮日,THE FOREVER PURGE
自殺突擊隊：集結,THE SUICIDE SQUAD
銀河騎士傳 織愛之星,Knights of Sidonia: Love Woven in the Stars
詭老,OLD
暫時停止呼吸2,DON’T BREATHE 2
幽靈戀上我,AOI-CHAN WON'T LET ME DO IT
汪汪隊立大功電影版,PAW PATROL THE MOVIE
脫稿玩家,FREE GUY
三島由紀夫vs東大全共鬪,Mishima： The Last Debate
BLACKPINK THE MOVIE,BLACKPINK THE MOVIE
死亡教室：母校,WHISPERING CORRIDORS 6：THE HUMMING
哭泣的憂羅娜,La Llorona
凝視瑪莉娜2,HOMECOMING
總編的復仇,KIBA：The Fangs of Fiction
BanG Dream! Episode of Roselia Ⅱ Song I am,BanG Dream! Episode of Roselia Ⅱ  Song I am
追憶人,REMINISCENCE
比得兔兔,Peter Rabbit 2
比得兔兔 ,Peter Rabbit 2
變調的灰姑娘,The Cinderella Addiction
密弒遊戲2：勝者危亡,ESCAPE ROOM: TOURNAMENT OF CHAMPIONS
親情解鎖,Falling
破碎的琴鍵,BROKEN KEYS
魔法少女小圓劇場版 [新篇] 叛逆的物語,Puella Magi Madoka Magica the Movie -Rebellion-
撕裂異弒界,CENSOR
咒術屍戰,THE CURSED：DEAD MAN'S PREY
雪國奇遇記,Christmas at Cattle Hill
魔鬼琴聲帕格尼尼,THE DEVIL’S VIOLINIST
糖果人,CANDYMAN
老闆衝殺小,MY BOSS IS A SERIAL KILLER
致命最前線,The Last Frontier
鬼門,GUIMOON: The Lightless Door
尚氣與十環傳奇,SHANG-CHI AND THE LEGEND OF THE TEN RINGS
豬殺令,PIG
吸血鬼獵人D,VAMPIRE HUNTER D BLOODLUST
疾厄,MALIGNANT
薩滿,THE MEDIUM
當世界不再下雪,Never Gonna Snow Again
沙丘,Dune
鬼把戲,Caveat
天坑,SINKHOLE
咖啡莊園的亡靈,All the Dead Ones
花神咖啡館,CAFE DE FLORE
蝸牛之家,THE HOUSE OF SNAILS
羊懼,LAMB
逃出摩加迪休,ESCAPE FROM MOGADISHU
緣起不滅,The Classic (2003)
生命理賠師,WORTH
東京復仇者,Tokyo Revengers
腦海中的橡皮擦,A Moment to Remember
綠騎士,The Green Knight
鹿王,The Deer King
綁架影帝黃晸珉,HOSTAGE：MISSING CELEBRITY
情人,L'AMANT
算牌手,The Card Counter
大象與蝴蝶,The Elephant And The Butterfly
超越無限2分鐘,Beyond The Infinite Two Minutes
311：東京大震盪,Tokyo Shaking
東京教父:4K數位修復版,TOKYO GODFATHERS
月光光新慌慌：萬聖殺,HALLOWEEN KILLS
殺手保鑣2,The Hitman's Wife's Bodyguard
霹靂油俠,PIPELINE
Fate/Grand Order-神聖圓桌領域卡美洛-Paladin; Agateram-,Fate/Grand Order THE MOVIE Divine Realm of the Round Table:      Camelot Paladin; Agateram
機動戰士鋼彈劇場版,Mobile Suit Gundam I
美國舞孃,SHOWGIRLS
粉紅雲,The Pink Cloud
我的意外男伴,THE MAN WITH THE ANSWERS
達賴喇嘛:大腦故事,Upper Story
高玩殺手,Copshop
藏愛的畫像,Helene
異類崛起,Risen
克里斯汀貝爾之黑暗時刻,The Machinist
跨越大西洋的戀人,AVIVA
我的英雄學院劇場版：世界英雄任務,MY HERO ACADEMIA THE MOVIE：World Heroes' Mission
彩虹小馬：活力新生代,MY LITTLE PONY：A NEW GENERATION
狼的孩子雨和雪,WOLF CHILDREN
逃出奧斯威辛,THE AUSCHWITZ REPORT
007 生死交戰,NO TIME TO DIE
爽賺姐妹,Queenpins
奇蹟：給總統的一封信,MIRACLE：LETTERS TO THE PRESIDENT
殺手寓言：殺手不殺人,THE FABLE: The Killer Who Doesn’t Kill
不容易的爸爸,Any Crybabies Around?
心靈遊戲,Mind Game
東京貴族女子,Aristocrats
蜜月夜不眠,HoneyMood
麵包超人電影版：軟綿綿與雲之國,ANPANMAN: Fluffy Flurry and the Land of Clouds
血客聯盟,GUNPOWDER MILKSHAKE
最後的決鬥,THE LAST DUEL
龍與雀斑公主,BELLE
聖慾,BENEDETTA
白色情人節：鬼迷宮,THE LABYRINTH
他們／我們,THEM/US (2019)
戚風男孩,My Best Part
14天創作挑戰,FOURTEEN DAYS (2017)
四個好日子,Four Good Days
人生,LIFE (2016)
勇鼠闖天堂,Even Mice Belong In Heaven
控制,Control
浪浪伊斯坦堡,Stray
猛毒2：血蜘蛛,VENOM: LET THERE BE CARNAGE
攔截聲命線,ON THE LINE
鹿魔,ANTLERS
達賴的一生,Kundun
寄身殺手,POSSESSOR
FINAL FANTASY XIV 光之老爸 劇場版,Brave Father Online: Our Story of Final Fantasy XIV
偶然與想像,Wheel of Fortune and Fantasy
法蘭西特派週報,THE FRENCH DISPATCH
地球重生,Tides
鬼村：殺人魔之女,SOONI
天才貓奴畫家,The Electrical Life of Louis Wain
鬼計,Haunted Tales
迷情蘇珊娜,SUZANNA ANDLER
刀劍神域劇場版 –Progressive- 無星夜的詠嘆調,Sword Art Online the Movie -Progressive- Aria of a Starless Night
鬼域囚徒,PRISONERS OF THE GHOSTLAND
獵殺414區,ZONE 414
極道公主,YAKUZA PRINCESS
異星隕落,OCCUPATION 2：OPERATION RAINFALL
仰望星空的少年,GAGARINE
美麗的誘惑-現代的「畫皮」-,Beautiful Lure : A Modern Tale of Painted Skin
忍者寶寶,Ninjababy
魔法少女☆伊莉雅：Licht 無名的少女,Fate/Kaleid Liner Prisma Illya - Licht Nameless Girl part1
假面飯店2：假面之夜,Masquerade Night
安雅與魔女,EARWIG AND THE WITCH
史賓賽,SPENCER
天崩颶裂,13 Minutes
王者理查,King Richard
劇場版信號：長期未解決事件搜查班,SIGNAL THE MOVIE COLD CASE INVESTIGATION UNIT
天兵阿榮,RON'S GONE WRONG
詛咒,NOROI
電影之神,It's a Flickering Life
雙子謀殺案：白城之寂,TWIN MURDERS：THE SILENCE OF THE WHITE CITY
密室譯戰,THE TRANSLATORS
永恆族,ETERNALS
鈦,TITANE
我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,DAKAICHI - I'm being harassed by the sexiest man of the year - the Movie: Spain Ar
超慄方殺陣,CUBE
說不出口的愛,ALL THE THINGS WE NEVER SAID
大紅狗克里弗,CLIFFORD THE BIG RED DOG
人性遊戲,Human Factors
禁忌情迷,LOLITA
夢想裁縫師,TAILOR
激鬥：首部曲,SHARK：THE BEGINNING
蒸氣男孩,Steamboy
尋子風暴,MY SON
毀滅倒數,Warning
由宇子的天秤,A BALANCE
迷離夜蘇活,LAST NIGHT IN SOHO
魔鬼剋星：未來世,GHOSTBUSTERS: AFTERLIFE
嵐 5x20演唱會電影～回憶全記錄～,ARASHI Anniversary Tour 5 X 20 FILM “Record of Memories”
電影版 輝夜姬想讓人告白～天才們的戀愛頭腦戰～ FINAL,KAGUYA-SAMA FINAL：LOVE IS WAR
惡靈古堡首部曲：拉昆市,RESIDENT EVIL: WELCOME TO RACOON CITY
ANNETTE：星夢戀歌,Annette
我們的限時約定,Get Lost Mr. Tumor
青春特調蜂蜜檸檬蘇打,HONEY LEMON SODA
殺無赦,Unforgiven
全新4K修復 小教父 完整導演版,The Outsiders: The Complete Novel
魔法滿屋,ENCANTO
麥迪遜之橋,The Bridges of Madison County
