中文片名,外文片名
魔境夢遊,Alice in Wonderland
他奶奶的變裝皇后,"JUMP, DARLING"
王牌冤家,Eternal Sunshine of the Spotless Mind
情慾告白,PASSION SIMPLE
極速快遞,SPECIAL DELIVERY
我的神秘狼朋友,Vicky and Her Mystery
無間對決,THE POLICEMAN'S LINEAGE
夜路,NIGHTMARE ALLEY
《我家三姊妹》,MY THREE DAUGHTERS
豪門媳婦日記,Unsophisticated Lady
波米叔叔的前世今生,Uncle Boonmee Who Can Recall His Past Lives
反恐行動：獨立日,Omerta 6/12
劇場版FREE! 男子游泳部–the Final Stroke–前篇,Free! – the Final Stroke – the first volume
波西米亞人,LA BOHEME
直到世界末日,UNTIL THE END OF THE WORLD
執愛不悔,LOVERS
最後一件晚禮服的秘密,HAUTE COUTURE
《屁屁偵探: 舒芙蕾島的秘密》,Butt Detective the Movie The Secret of Souffle Island
機遇之歌：數位修復版,Blind Chance
情聖西哈諾,CYRANO
娶我吧!,MARRY ME
鬼電梯,THE LIFT
尼羅河謀殺案,DEATH ON THE NILE
終極攻佔,DEADLOCK
亡命陷阱,The Trap
月球隕落,Moonfall
巴黎夢想家,Lost Illusions
BJ單身日記,Bridget Jone's Diary
今敏：造夢魔術師,"Satoshi Kon, l'illusionniste"
時代革命,REVOLUTION OF OUR TIMES
馬克白,MACBETH
夏日幽靈,SUMMER GHOST
櫻櫻大日本,Big in japan
逍遙上路,Dog
垃圾頭,Junk Head
艾菲爾情緣,EIFFEL
我是你的完美男友,I'M YOUR MAN
電影版 昨日的美食,WHAT DID YOU EAT YESTERDAY?
秘境探險,UNCHARTED
那些得不到保護的人,In The Wake
PHANTOM: THE MUSICAL FILM,PHANTOM: THE MUSICAL FILM
終極堡壘,FORTRESS 1
在你面前,In Front of Your Face
愛你讓我自由,Great Freedom
通靈女校,S?ANCE
詭謎藏,HIDE AND SEEK
核爆車諾比,CHERNOBYL
平行母親,MADRES PARALELAS
劫命救護,AMBULANCE
黑光行動,BLACKLIGHT
蝙蝠俠,THE BATMAN
再見列寧！,"GOOD BYE, LENIN!"
劇場版 咒術迴戰 0,JUJUTSU KAISEN: ZERO
丟包大作戰,YOU KEEP THE KIDS!
藝術恐怖份子 班克斯,BANKSY and the Rise of Outlaw Art
我的夏日大戀習,One Summer Story
神隱少女,Spirited Away
燃燒的劍,Baragaki: Unbroken Samurai
我不是英雄,A HERO
遊走塵市間,DUST-MAN
壞蛋聯盟,THE BAD GUYS
懾影屍,Post Mortem
輝耀姬物語,The Tale of Princess Kaguya
凝弒,Cracked
絕命通話,The Desperate Hour(LAKEWOOD)
貝爾法斯特,BELFAST
茲山魚譜,The Book of Fish
魔法水果籃 -前奏曲-,Fruits Basket -prelude-
全面掃蕩,CLEAN
藥命回憶,THE EDUCATION OF FREDRICK FITZELL
尋人啟弒,Missing
絕命第19排,ROW 19
極限逃殺,The Ledge
Fate/stay night - 無限劍製,Fate/stay night – UNLIMITED BLADE WORKS
