中文片名,外文片名
聖地X,THE CURSED SANCTUARY X
雙子星計畫,Project Gemini
安妮詩快跑,Les amours d'Ana?s (Ana?s in Love)
劫獄救援,Ida Red
圓滾滾藝術家-費爾南多·波特羅,BOTERO
接棒家族,AND SO THE BATON IS PASSED
如果30歲還是處男，似乎就能成為魔法師,CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?!
何處是我朋友的家？,Where Is the Friend's Home?
漂浪人生,Flee
投機者樂團：愛的鼓勵,The Ventures: Stars on Guitars
心碎效應,SHATTERED
沉默呼聲,Unsilenced
急急復雞雞,POPRAN
失落謎城,THE LOST CITY
奇怪的數學家,IN OUR PRIME
生生長流,"And Life Goes On / Life, and Nothing More…"
對某飛行員的追憶,The Princess and the Pilot
盜夢睡務員,Strawberry Mansion
電影版 DEEMO 櫻色旋律 —你所彈奏的琴音 至今仍在迴響—,DEEMO MEMORIAL KEYS I STILL HEAR THE SOUND OF YOUR PIANO
救命緝約,The Contractor
為人民服務,SERVE THE PEOPLE
妖獸都市1987 劇場版,Wicked City
魔比斯,MORBIUS
阿爸休假中,A Leave
餐廳失控夜,BOILING POINT
破膽三次,The Howling
橄欖樹下的情人,Through the Olive Trees
終極包圍戰,AMERICAN SIEGE
小小兵2:格魯的崛起,MINIONS: THE RISE OF GRU
音速小子 2 ,SONIC THE HEDGEHOG 2
隔壁的山田君,My Neighbors the Yamadas
臥底型警FINAL,The Mole Song - Undercover Agent Reiji - FINAL
瑪莉娜的512小時,512 Hours
媽的多重宇宙,Everything Everywhere All at Once
玩命獵殺,Panama
終極交戰,A DAY TO DIE
屠女養成記,The Butcher's Daughter
怪獸與鄧不利多的秘密,Fantastic Beasts: The Secrets of Dumbledore
海岬的迷途之家,The House of the Lost on the Cape
真愛超能力,SUPEREROI (Superheroes)
友你才精彩,BEAUTIFUL MINDS
電影版 如果30歲還是處男，似乎就能成為魔法師,CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?! THE MOVIE
天堂電影院,Last Film Show
決戰星期天,The Sunday Runoff
第一人夫,First Gentleman
超吉任務,THE UNBEARABLE WEIGHT OF MASSIVE TALENT
築愛巴黎,Notre Dame
祖怨,THE ANCESTRAL
終極夜路,GASOLINE ALLEY
兒時的點點滴滴,Only Yesterday
米其林母子檔,FREE WAY
超跑斯特拉,Stellar：A Magical ride (Stellar)
親愛的童伴,PETITE MAMAN
露草,Tsuyukusa
親愛的母親,PILATE
忌妒的藍圖,The Story of My Wife
藍色是最溫暖的顏色,BLUE IS THE WARMEST COLOUR
越驚,Vietnamese Horror Story
SEVENTEEN POWER OF LOVE : THE MOVIE,SEVENTEEN POWER OF LOVE : THE MOVIE
記憶殺神,Memory
鳶,TOMBI: Father and Son
公共圖書館員,THE PUBLIC
漁港的肉子,Fortune Favors Lady Nikuko
春川神秘中邪事件,Fearsome
鯊顫,SHARK BAIT
好好說再見,Peaceful
平成狸合戰,Pom Poko
櫻桃的滋味 數位修復版,TASTE OF CHERRY
詭棋,The Darker The Lake
風帶著我來 數位修復版,THE WIND WILL CARRY US
驅神,EXORCISM OF GOD
超級救援狗,Superpower Dogs
小行星獵人,Asteroid Hunters
回歸野性,Born To Be Wild
深海獵奇,Deep Sea
最後的冰川,The Last Glaciers
馬達加斯加：狐猴之島,Island of Lemurs: Madagascar
哈勃望遠鏡,Hubble
阿哈：帶我走,a-ha: The Movie
失速母親,Full Time
奇異博士2：失控多重宇宙,DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS
輪到你了 劇場版,Your Turn to Kill: The Movie
電影版 99.9 不可能的翻案,99.9 CRIMINAL LAWYER THE MOVIE
愛在暹邏：數位經典版,Love of Siam
猛鬼大學：第2學期,Haunted Universities 2
探戈行不行,Tango Shalom
捍衛戰士: 獨行俠,TOP GUN: MAVERICK
月影歸途,The Song of the Moon
空氣殺人,Toxic
侏羅紀世界: 統霸天下,JURASSIC WORLD: DOMINION
孵魔,HATCHING
死亡預報,THE ANCHOR
最後的生存者,Last Survivors
逃出封鎖線,The Pilot
進擊的地才,The Novice
2001太空漫遊,2001: A SPACE ODYSSEY
淒厲人僧：卡到陰,Pee Nak 3
發條橘子,A CLOCKWORK ORANGE
自然就樹美,THE HIDDEN LIFE OF TREES
鬼雙胞,The Twin
犯罪都市2,THE ROUNDUP
格列佛遊記：重返小人國,Gulliver Returns
熟女解放中,The Book of Delights
牛首村,OX-HEAD VILLAGE
愛在書店相遇時,A Bookshop in Paris
PINA,PINA
羅密歐與茱麗葉,ROMEO AND JULIET
電影版 如果30歲還是處男，似乎就能成為魔法師,CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?! THE MOVIE~SPECIAL STAGE
大開眼戒,Eyes Wide Shut
娜娜：逝水年華,"Before, Now & Then"
劇場版FREE! 男子游泳部–the Final Stroke–後篇,Free! the Final Stroke-the second volume
來自巴黎的情書,The Love Letter
伊恩?麥克連 80歲個人秀巡迴演出,IAN MCKELLEN ON STAGE
蘿莉塔,LOLITA
偷情連載中,"Sensei, Would You Sit Beside Me?"
劇場版「黃金拼圖Thank you！！」,KINMOZA The Movie:Thank you!!
隔離巢,Nest
HIGH & LOW 熱血街頭 電影版 ~紅雨篇~,HIGH & LOW THE RED RAIN
龍馬！新生網球王子劇場版,Ryoma! the Prince of Tennis
當女孩戀愛時,Girl Picture
神隱少年狼,RING WANDERING
名偵探柯南 萬聖節的新娘,Detective Conan：The Bride of Halloween
黎巴嫩的天空,1982
餘命10年,THE LAST 10 YEARS
熊貓家族,PANDA KOPANDA
熊貓家族 - 雨中的馬戲團,The Circus in the Rain
午後彌撒,Mass
們,MEN
噪音,NOISE
巴斯光年,LIGHTYEAR
鬼單眼,SLR
我的野蠻女友,MY SASSY GIRL
越界分身,Madeleine Collins
再見了，橡果兄弟！－奇蹟的暑假－,"Goodbye, DonGlees!"
一屍到底：法屍浪漫,FINAL CUT
利?i德城,LEOPOLDSTADT
拜金女王的性愛派對,Girls to buy
不看鐵達尼號的男人,The Blind Man Who Did Not Want to See Titanic
螢火蟲之墓,Graves of the Fireflies
貓王艾維斯,Elvis
怪獸死了怎麼辦,WHAT TO DO WITH THE DEAD KAIJU?
嬰兒轉運站,BROKER
只是現在不走運而已,Once Hit the Bottom
電影哆啦A夢：大雄的宇宙小戰爭 2021,DORAEMON THE MOVIE：NOBITA'S LITTLE STAR WARS 2021
野蠻人入侵,Barbarin Invasion
xxxHOLiC 次元魔女,xxxHOLiC
黑貓白貓：4K數位修復版,"Black Cat , White Cat"
一路上有妳,I'll Go Where You Go
衝鋒戰士劇場版：翁法洛斯島的秘密,Hello Carbot Movie：The Secret Of Omphalos Island
永別了，柏林,FABIAN - Going to the Dogs
朵貝的愛情繪本,Tove
太陽與波麗露,SUN AND BOLERO
偉大的印度廚房,The Great Indian Kitchen
婚顧女王,Wedding High
失業風暴,Between Two Worlds
角落小夥伴電影版：藍色月夜的魔法之子,Sumikkogurashi: The Little Wizard in the Blue Moonlight
喜悅：達賴喇嘛遇見屠圖主教,Mission: JOY
馬修·伯恩《紅舞鞋》,Matthew Bourne’s The Red Shoes
魔女二部曲：另一個她,THE WITCH：PART 2. THE OTHER ONE
浪浪回家路,Gump
雷神索爾：愛與雷霆,THOR: LOVE AND THUNDER
泳漾水男孩,The Swimmer
分手的決心,DECISION TO LEAVE
馬修·伯恩《天鵝湖》,Matthew Bourne’s Swan Lake
子彈列車,BULLET TRAIN
邪門,Contorted
在我和天空之間,Living in the Sky
洞,Il Buco
特『刀劍亂舞-花丸-』～雪之卷～,TOUKEN RANBU HANAMARU Season 3: YUKI NO MAKI
烈火少女,FIREHEART
殺戮基地,BLACK SITE
席琳狄翁外傳：愛的力量,Aline
降臨節日曆,THE ADVENT CALENDAR
星際特務,Captain Nova
非常殺手,THE KILLER
孤兒怨2：最黑暗的過去,ORPHAN: FIRST KILL
一萬個叢林夜,"ONODA：10,000 nights in the Jungle"
DC超級寵物軍團,DC League of Super Pets
未來犯罪,CRIMES OF THE FUTURE
法蘭克札帕：從前衛到當代,Zappa
非戀人絮語,NO
外星+人,ALIENOID
瑪歌皇后 數位修復版,LA REINE MARGOT
就在今夜,The passengers of the night
蠟筆小新：幽靈忍者珍風傳,Crayon Shinchan the Movie : The Tornado Legend of Ninja Mononoke
春日小戀曲,Spring Blossom
沼澤謀殺案,WHERE THE CRAWDADS SING
偷香 數位修復版,STEALING BEAUTY
大獲拳勝,THE CHAMPION OF AUSCHWITZ
我們的英搖時光,Creation Stories
不!,NOPE
妖街皇后,Bugis Street
蝙狐俠：英雄覺醒,SUPERWHO?
擅長捉弄人的高木同學劇場版,Teasing Master Takagi-san the Movie
七五計劃,Plan 75
天黑請斃命,BODIES BODIES BODIES
末日救世主,KAPPEI
北齋：浮世繪傳奇,HOKUSAI
獸,BEAST
緊急迫降,EMERGENCY DECLARATION
劇場版 五等分的新娘,THE QUINTESSENTIAL QUINTUPLETS MOVIE
愛重奏,Reprise
航海王劇場版 : 紅髮歌姬,ONE PIECE FILM RED
夜色中的她,UNE FEMME DU MONDE (aka HER WAY)
美國女孩的日本日記,LEONIE
正發生,Happening
請為我在羅馬多留一天,LASCIARSI UN GIORNO A ROMA (BREAKING UP IN ROME)
電影版 奇巧計程車：撲朔謎林,ODD TAXI IN THE WOODS
韓山島海戰,HANSAN：RISING DRAGON
如月車站,KISARAGI STATION
電影版 搖曳露營△,LAID-BACK CAMP THE MOVIE
超級蜥蜴王,Leio
聽見心嘻望,CASABLANCA BEATS
獵首密令,Hunt
劇場版 超時空要塞F~虛空歌姬~,Macross Frontier: The False Songstress
三千年的渴望,THREE THOUSAND YEARS OF LONGING
世紀婚魘,THE INVITATION
士兵與軍官,Firebird
以你的名字呼喚我,CALL ME BY YOUR NAME
特『刀劍亂舞-花丸-』～月之卷～,TOUKEN RANBU HANAMARU Season 3:TSUKI NO MAKI
米婭的精靈王國,Mia and me-The Hero of Centopia
她和她的小主廚們,THE KITCHEN BRIGADE
極道主夫 電影版,THE WAY OF THE HOUSEHUSBAND：THE CINEMA
拆彈倒數30分鐘,Blast
七龍珠超：超級英雄,DRAGON BALL SUPER: SUPER HERO
拉辛正傳,LAAL SINGH CHADDHA
贖罪風暴,BALLAD OF A WHITE COW
萌男友是柑橘色,MY BOYFRIEND IN ORANGE
沒有煙硝的日子,Klondike
界限,THE LIMIT
蜘蛛人：無家日 戲院加長版,SPIDER-MAN NO WAY HOME THE MORE FUN STUFF VERSION
河畔小日子,Riverside Mukolitta
劇場版 超時空要塞F~戀離飛翼~,Macross Frontier: The Wings of Farewell
犬王,INU-OH
新‧超人力霸王,Shin Ultraman
語意錯誤電影版,Semantic Error - The Movie
機密同盟2,CONFIDENTIAL ASSIGNMENT 2
看你往哪跑,SEE HOW THEY RUN
小獅子王,KING
我想被高中女生殺死,To Be Killed by a High School Girl
別擔心親愛的,Don't Worry Darling
新·超人力霸王,Shin Ultraman
性愛成癮的男人,SHAME
詭孩,The Innocents
危雞總動員,Little Eggs: An African Rescue
怪胎英雄：奇克探險記,Chickenhare and the Hamster of Darkness
刀鋒劍客,BLAZING SAMURAI
迷霧中的孩子,Children of the Mist
 捍衛戰士,TOP GUN
墜,THE FALL
死噬,"Arthur, mal?diction"
Ｎ妠刉x鬼,BLDG. N
幸福入場券,TICKET TO PARADISE
消失的達文西,THE SAVIOR FOR SALE
微笑,SMILE
電影版 後空翻少年!!,Backflip!! The Movie
破案天才伽利略：沉默的遊行,SILENT PARADE
毛骨悚然：惡魔重生,JEEPERS CREEPERS：REBORN
大尉叛逃記,CAPTAIN VOLKONOGOV ESCAPED
丹尼爾約翰斯頓：魔鬼詩篇,The Devil and Daniel Johnston
特『刀劍亂舞-花丸-』～華之卷～(第一周),TOUKEN RANBU HANAMARU Season 3: HANA NO MAKI#1
阿凡達,AVATAR
戀之光,Love is Light
特『刀劍亂舞-花丸-』～華之卷～(第二周),TOUKEN RANBU HANAMARU Season 3: HANA NO MAKI#2
青?大學體育會航空部劇場版,Blue Thermal
特『刀劍亂舞-花丸-』～華之卷～(第三周),TOUKEN RANBU HANAMARU Season 3: HANA NO MAKI#3
春心萌動的老屋緣廊,BL Metamorphosis
哥兒們,BROS
行動代號：狼狩獵,PROJECT WOLF HUNTING
流浪之月,WANDERING
樂透大作戰,6/45
調職令是警察樂隊！,Offbeat Cops
麵包超人電影版：多洛林與妖怪嘉年華,ANPANMAN: Dororin and the Transformation Carnival
救救旱鴨子,"Yes, I Can't Swim"
信用詐欺師JP：英雄篇,The Confidence Man JP - Episode of the Hero
極速甩尾,Alivehoon
趴兔青春期,"IT'S JUST A PHASE, HONEY"
女孩與蜘蛛,The Girl and the Spider
獵空計畫,Mission Sky
瘋狂富作用,Triangle of Sadness
阿姆斯特丹,AMSTERDAM
魚之子,The Fish Tale
每天上班總是累得要死,Struggling Man
如果驢知道,EO
女王,THE WOMAN KING
政客誠實中2,HONEST CANDIDATE 2
替屍鬼2：詛咒再臨,MUOI：THE CURSE RETURNS
逃出風暴,AND TOMORROW WE WILL BE DEAD
伊尼舍林的女妖,THE BANSHEES OF INISHERIN
真實世界,ANOTHER WORLD
天劫高手,Bandit
月光光新慌慌：萬聖結,HALLOWEEN ENDS
人生真美麗,LIFE IS BEAUTIFUL
東京闇變,BATTLECRY
五星饗魘,THE MENU
記憶有限公司,Memory Xpress
黑亞當,BLACK ADAM
驚爆倒數60分鐘,HOT SEAT
仇恨謎林,R.M.N.
愛．子,THE SON
終極堡壘2,FORTRESS：SNIPER'S EYE
愛在生命終結時,More Than Ever
天堂髮廊,Huda's Salon
瑞士鐘錶師,Unrest
抓狂養老院,Retirement Home
書情話慾,Deception
刀劍神域劇場版 –Progressive- 陰沉薄暮的詼諧曲,Sword Art Online the Movie -Progressive- Scherzo of Deep Night
殺人結業弒,Lesson in Murder
大逃殺 4K數位修復版,BATTLE ROYALE
幽靜的山荷葉,Skeleton Flowers
笑子當老大,Hometown
玩命光頭,Very Bald trip
星夢性快感,PLEASURE
天空之城,Castle in the Sky
鬼禱,PREY FOR THE DEVIL
大製片家,THE STORMS OF JEREMY THOMAS
通往異世界的便利店,Convenience Story
好想傳達你的聲音,Your Voice -KIMIKOE-
超人力霸王：被禁止的話語,Ultraman Episode33
超人力霸王：再見了！超人力霸王,Ultraman Episode39
遺屍物,Lost & Found
喬治亞天空下,What Do We See When We Look at the Sky?
索蘭琪的少女心事,Petite Solange
錯位的青春,A GIRL ON THE SHORE
骨肉的總和,Bones and All
局中局,CONFESSION
貓爸爸們,Cat Daddies
天才狂歡派對：首部曲,Genius Party
天才狂歡派對：最終章,Genius Party Beyond
即使，這份戀情今晚會從世上消失,EVEN IF THIS LOVE DISAPPEARS TONIGHT
絕命線阱,On the Line
鱷魚歌王,"LYLE, LYLE, CROCODILE"
厄憶追凶,REMEMBER
葬禮,The Funeral
蒲公英,Tampopo (Dandelion)
黑豹 2：瓦干達萬歲,BLACK PANTHER: WAKANDA FOREVER
她有話要說,SHE SAID
愛情需要編劇,Happy Ending
性徒,Believers
放牛班足球隊,Full of Grace
艾莉絲旅館,HOTEL IRIS
俠探特攻：全面追緝,DETECTIVE KNIGHT：ROGUE
奇異冒險,STRANGE WORLD
鞋貓劍客 2,PUSS IN BOOTS: THE LAST WISH
她喜歡的是,WHAT SHE LIKES…
小說家電影,The Novelist's Film
音爆浩劫,DECIBEL
通往夏天的隧道，再見的出口,"THE TUNNEL TO SUMMER, THE EXIT OF GOODBYES"
暴戾夜,VIOLENT NIGHT
閨蜜大狂殺,Sissy
決戰38度線,Devotion
戀上笨拙的你,TWO MALADROITS IN LIFE：A LOVE STORY
還有愛的日子,LOVE LIFE
梵天神器：滅世開端,Brahmastra: Part One Shiva
線，畫出的我,The Lines that Define Me
無法無天,CITY OF GOD
關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,That Time I Got Reincarnated as a Slime the movie Scarlet Bond
湯恩與劍客汪汪隊,Dogtanian and The three Musehounds
王者製造,Kingmaker
NCT DREAM THE MOVIE : In A DREAM,NCT DREAM THE MOVIE : In A DREAM
傲慢與偏見,PRIDE AND PREJUDICE
演員夢,Silver Screen Dreams
失控正義,Christmas Carol
整形帝王,MEN OF PLASTIC
高原上的家屋,UTAMA
愛情在車上,WITH LOVE FROM KOSHU-KAIDO
色界,Borders of Love
有頂天大飯店,SUITE DREAMS
光影帝國,EMPIRE OF LIGHT
舌尖上的禪,The Zen Diary
過去那五年,LAST FIVE YEARS
夜鷹的單戀,The Nighthawk's First Love
晝盲神探,THE NIGHT OWL
天使降臨到我身邊！珍貴的朋友,WATATEN!: An Angel Flew Down to Me- Precious Friends
鬼壓床了沒,A GHOST OF A CHANCE
魔幻時刻,THE MAGIC HOUR
有你就是家,TORI AND LOKITA
瑪琳艾索普：首席女指揮,The Conductor
西蒙娜：世紀之聲,Simone
俠探特攻：贖罪行動,DETECTIVE KNIGHT：REDEMPTION
大熊貓,Pandas
海底世界,Under The Sea
魔蟲禁區,THE ONE HUNDRED
蘿拉快跑,RUN LOLA RUN
朝聖之路：聖雅各,The Way
手,HAND
夢迴西藏：軍官與達賴喇嘛,NEVER FORGET TIBET
與你共舞,I WANNA DANCE WITH SOMEBODY
阿凡達：水之道,AVATAR: THE WAY OF WATER
鬼搖靈2：陰語陣陣,SATAN'S SLAVES：COMMUNION
那個男人,A MAN
初步舉證,PRIMA FACIE
《聽見天堂》4K數位修復版,Red Like the Sky (ROSSO COME IL CIELO)
她和她們的電影課,Cinema Sabaya
片場風暴,World War III
共感頻率,DITTO
劇場版 弦音 ─初始的一射─,Tsurune The Movie - The First Shot
花路阿朱媽,Ajoomma
輝夜姬想讓人告白－永不結束的初吻,Kaguya-sama: Love Is War -The First Kiss That Never Ends-
監弒器,CCTV
美好的早晨,One Fine Morning
親密,CLOSE
首爾怪談,URBAN MYTHS
TANG,TANG AND ME
碰碰狐音樂電影:奇幻城嘉年華,Pinkfong Sing-Along Movie 2: Wonderstar Concert
地下疑雲,On The  Edge
窒友梅根,M3GAN
超難搞先生,A MAN CALLED OTTO
T?R 塔爾,T?R
邪惡的孩子,The Good Father
血仇生死鬥,VENDETTA
心情直播不NG,"WELCOME BACK, MR. MCDONALD"
玩具當家,The New Toy
劫婚大作戰,SHOTGUN WEDDING
日出日落：屋頂上的提琴手,Fiddler's Journey to the Big Screen
彬與瑛,Akira and Akira
柴可夫斯基的妻子,Tchaikovsky's Wife
灌籃高手 THE FIRST SLAM DUNK,THE FIRST SLAM DUNK
小弄日記：洲美,Alley Diary: Zhoumei
我吃了那男孩一整年的早餐,My Best Friend's Breakfast
貓年海岸,Impurrfection
青春換日線,Reborn
咒,Incantation
野夏天,SUMMER
少年?,Untouchable
女優 摔吧！,"Girls, Be Ambitious!"
頭七,The Funeral
有你相伴的旅程,REMEMBER LOVE
良辰吉時：第1-2集,Twisted Strings：EP.1-2
清晨的兔子小姐,Miss Rabbit
再會啦 白宮,See You White House
我心我行,SALUTE
永生號,Transmigration
幻日手記,Far away eyes
給阿媽的一封信,A Letter to A'ma
少年?，安啦！,Dust of Angels
有時 Mama，有時 Mimi,Mimi' s Utopia
兜兜風,RAYDIO
初戀慢半拍,MAMA BOY
教練,At Your Service
神人之家,A Holy Family
勸世三姊妹：大銀幕特別版,"Don’t Cry, Dancing Girls"
費爾的旅程,Phil's Journey
送行,On another's sorrow
放電男孩,Tourette Boy
還孩子做自己,LET KIDS BE KIDS
台灣男子葉石濤,"Yeh Shih-tao, A Taiwan Man"
夢遊樂園,Melody-go-round
神明在看, Contained
藏匿處,Hideout
家家,Welcome Home
聖石傳說,The Legend of The Sacred Stone
KULO,KULO
哈勇家,GAGA
民雄鬼屋,Minxiong Haunted House
舞徑,Ballet in Tandem
動物感傷?清晨,in the morning of la petite morte
正義的算法,Small and Mighty
朝向一首詩的完成,Yang Mu: Towards the Completion of a Poem
讀中文系的人,A Lifetime in Chinese Literature
無岸之河,River Without Banks
兩地,Lin Hai-yin: Home in Two Cities
他還年輕,He's Still Young
我永遠永遠永遠愛你,FOREVER AND EVER
尋找背海的人,Wang Wen-xin: The Man Behind the Book
如歌的行板,A Life That Sings
無法離開的人,The Man Who Couldn't Leave
如霧起時,Zheng Chou-yu:  Port of Mists
1918,1918
紅尾巴,Red Tail
奼紫嫣紅開遍,Multiflorate Splendour
孫行者傳,Legend of Sun Walker
東西,Boundary
遺留,All That Remains
化城再來人,Chou Meng-tieh: The Coming of Tulku
科學少女,S-Girl
我城,My City
大俠胡金銓 第二部曲—斷腸人在天涯,The King of Wuxia Part 2: The Heartbroken Man on the Horizon
大俠胡金銓 第一部曲—先知曾經來過,The King of Wuxia Part 1 : The Prophet Was Once Here
昆蟲黑道,insect gangster
逍遙遊,Yu Guang-zhong: The Untrammeled Traveler
二重奏,Duet
溟溟,Murmur of Memories
熱帶複眼,Compound Eyes of Tropical
童話·世界,Fantasy·World
關於，半夜夢見林默娘乘著海湧把垃圾全丟進我的未來這件塑，好像是真的,OH MY GOD PLASTIC CRISIS IS REAL
臥虎藏龍,CROUCHING TIGER HIDDEN DRAGON
台北女子圖鑑,WOMEN IN TAIPEI
kulumaha 回家吧！原聲,Behind the singing
不老騎士-歐兜邁環台日記,GO GRANDRIDERS
稻浪上的夢想家,The Dreamer
初聲,THE VOICES
流麻溝十五號,Untold Herstory
你在我心上,You Are On MY Mind
小藍,Little Blue
夜無盡夜,Falling
罪後真相,The post-truth world
無邊,Nature of Mother
失序正義,Chaotic Justice
夏日天空的那匹紅馬,Flotsam and Jetsam
查無此心,The abandon
阿主,Houselord God
一家子兒咕咕叫,Coo-Coo 043
一一,YIYI-A ONE AND A TWO
全明星星光音樂會,Allstar Concert
罪後真相(口述影像版),The post-truth world
一起一起,Cheer Together
拾憶男孩,Time In A Bottle
宇宙記憶,Universe Memory
廢墟裡的星光,Starlight in the Ruins
遇見少年229,JUVENILE229
黑的教育,Bad Education
返來呷飯,A Beautiful Summer Noon
山中森林,Lost in Forest
想見你,SOMEDAY OR ONE DAY
山椒魚來了,Good Morni MIT
我的婆婆怎麼把ＯＯ搞丟了,U Motherbaker - The Movie
奪冠,LEAP
如果有一天我將會離開你,Before Next Spring
你好，李煥英,"HI, MOM"
李茂扮太子,Another Me
于堇：蘭心大劇院,Saturday Fiction
野馬分鬃,Striding Into the Wind
溫暖的抱抱,THE WARM HUG
四海,Only Fools Rush In
這個殺手不太冷靜,Too Cool to Kill
一直一直都很喜歡你,Love Can't Be Said
出租女友,PART-TIME GIRLFRIEND
少年,May You Stay Forever Young
重慶森林 4K數位修復版,Chungking Express
阮玲玉,Center Stage
英雄本色,A Better Tomorrow
胭脂扣,Rouge
神探大戰,Detective vs Sleuths
邊緣行者,MAN ON THE EDGE
秋天的童話,An Autumn’s Tale
喜歡妳是妳,The First Girl I Loved
花樣年華 4K數位修復版,In The Mood For Love
闔家辣,Chilli Laugh Story
七人樂隊,Septet: The Story of Hong Kong
繼園臺七號,NO.7 CHERRY LANE
美少年之戀,Bishonen
海上花,Immortal Story
流金歲月,Last Romance
玫瑰的故事,Story of Rose
媽的星寵兒,Mama's Affair
一路瞳行,Sunshine Of My Life
飯戲攻心,Table For Six
失衡凶間,Tales From The Occult
心裏美,Pretty Heart
憂鬱之島,BLUE ISLAND
海鷗來過的房間,Kissing The Ground You Walked On
智齒,Limbo
無間道,Infernal Affairs
過時·過節,Honk Kong Family
無間道III：終極無間,Infernal Affairs III
無間道II,Infernal Affairs II
緣路山旮旯,Far Far Away
正義迴廊,The Sparring Partner
投奔怒海,Boat People
天龍八部之喬峰傳,Sakra
