中文片名,外文片名
愛．欺,THE WIFE
盲眼疑雲,IN DARKNESS
為副不仁,VICE
異裂,GLASS
魔劍少年,THE KID WHO WOULD BE KING
非．虛構情事,NON-FICTION
希特勒對畢卡索：被奪取的名畫,HITLER VS PICASSO AND THE OTHERS
人盡皆知,EVERYBODY KNOWS
窒息,SUSPIRIA
鎖命危機,DOOR LOCK
法律女王,ON THE BASIS OF SEX
插心之刀,KNIFE+HEART
來了,IT COMES
海邊的道別,SEA OPENING
芭蕾少女夢,GIRL
辛德勒的名單,SCHINDLER'S LIST
我的嘻哈我的家,SUNSET IN MY HOMETOWN
BTS WORLD TOUR' LOVE YOURSELF' IN SEOUL,BTS WORLD TOUR' LOVE YOURSELF' IN SEOUL
馴龍高手3,HOW TO TRAIN YOUR DRAGON 3
梵谷：在永恆之門,AT ETERNITY'S GATE
李屍朝鮮,KINGDOM
未來的青春筆記,STUDENT A
當幸福提早來,Becoming Astrid
RBG：不恐龍大法官,RBG
福爾摩濕與滑生,HOLMES AND WATSON
苦兒流浪記,REMI SANS FAMILLE
元氣人生,"My Retirement, My Life"
闇罪無間,DARK CRIMES
三小一家人,La ch'tite famille
艾莉塔：戰鬥天使,ALITA: BATTLE ANGEL
我的傲嬌男友,"You,I Love"
穿在乳頭上的洞,PIERCING
一個巨星的誕生,A Star Is Born
哈柏太空之旅 3D,HUBBLE 3D
深海獵奇 3D,DEEP SEA 3D
無主之作,NEVER LOOK AWAY
億男,Million Dollar Man
樂高玩電影2,The Lego Movie 2: The Second Part
飆風特警隊,HIT-AND-RUN SQUAD
攝魂修女院,ST. AGATHA
祝你忌日快樂,HAPPY DEATH DAY 2U
家族的色彩,Our Departures
厄夜追緝令,The Guilty
屋簷下的記憶,Ray & Liz
追魂公寓,THE SUPER
鬼裔,THE PRODIGY
吉娃娃羅曼死,Chiwawa
三更半夜居然要吃香蕉？,A Banana? At This Time of the Night?
墜愛,Falling
雞不可失,Extreme Job
密陽,Secret Sunshine
大叔,THE MAN FROM NOWHERE
嬰魂不散,THE HOLE IN THE GROUND
我和我的摔角家庭,FIGHTING WITH MY FAMILY
在地下城尋求邂逅是否搞錯了什麼  ─ 獵戶座之箭 ─,Is It Wrong to Try to Pick Up Girls in a Dungeon? Arrow of Orion
活個精彩,The Upside
我的惹火上司,MY BAD BOSS
小資女孩奮鬥記：遊樂園的奇蹟,OZLAND
喜劇天團：勞萊與哈台,STAN & OLLIE
酷寒殺手,Cold Pursuit
證人,INNOCENT WITNESS
Fate_stay night [Heaven's Feel] II. 迷途之蝶,Fate_stay night [Heaven's Feel] II. lost butterfly
卡拉瓦喬：靈魂與血肉之軀,CARAVAGGIO: THE SOUL AND THE BLOOD
密遊戲,ESCAPE ROOM
溫泉屋小女將,Okko's Inn
法拉利312B：革命的開端,FERRARI 312B
跳痛先生,The Man Who Feels No Pain
限時好友,FRIEND ZONE
惡孕,MALICIOUS
求救信,Letter from Masanjia
梵谷：畫筆下的烏雲與麥田,VAN GOGH－OF WHEAT FIELDS AND CLOUDED SKIES
驚奇隊長,Captain Marvel
逆光天后,Vox Lux
毀滅者,DESTROYER
奇幻遊樂園,WONDER PARK
情，敵,THE AFTERMATH
騙局,The Realm
吾愛吾詩,THE KINDERGARTEN TEACHER
哭泣的女人,The Curse of La Llorona
原本以為只是手機掉了,STOLEN IDENTITY
誰殺了小說家?,Who Killed Lady Winsley?
假面飯店,Masquerade Hotel
第十二夜,TWELFTH NIGHT
愛情零極限,A Faithful Man
幼女戰記劇場版,Saga of Tanya the Evil the Movie
池畔風暴,Liquid Truth
響 - HIBIKI -,HIBIKI
阿拉丁：全新大冒險,THE NEW ADVENTURES OF ALADIN
我的寵物殺手,Euthanizer
電競殺手,Censor
血祭歐買尬,BLOOD FEST
哈納萊伊灣,Hanalei Bay
相對世界。明日終結?,THE RELATIVE WORLDS
他們不再老去,THEY SHALL NOT GROW OLD
愛上觸不到的你,FIVE FEET APART
我們,US
嫌疑犯X,Perfect Number
我唾棄你的墳墓3,I SPIT ON YOUR GRAVE Ⅲ：VENGEANCE IS MINE
噬魂實驗,DISCARNATE
小飛象,Dumbo
私刑制裁,Broken
米其林遇見米其林,SOUL
理查二世,RICHARD II
失控危城,Hotel Mumbai
愛情太需要翻譯,LONDON SWEETIES
十二個想死的少年,12 Suicidal Teens
庫爾斯克號: 深海救援,KURSK
克林姆與席勒：靈慾之間,KLIMT AND SCHIELE：EROS AND PSYCHE
