中文片名,外文片名
誰殺了唐吉訶德,THE MAN WHO KILLED DON QUIXOTE
厄林殺機,HE'S OUT THERE
沙贊！,SHAZAM!
禁入墳場,PET SEMATARY
屍降,Reside
失控班!,School's Out
灰影地帶,Ashes in the Snow
莫內：睡蓮的水光魔法,WATER LILIES MONET：THE MAGIC OF WATER AND LIGHT
我的巴黎舅舅,Amanda
別問我是誰,Who You Think I Am
真愛，再出發,Departures
錢力遊戲,MONEY
異類占領,Captive State
侵密室友,Greta
幸福的拉札洛,Happy as Lazzaro
拉麵狂,RAMEN HEADS
上流世界,Loro
孟買夜未眠,Sir
女王的柯基,The Queen's Corgi
牛津解密,THE PROFESSOR AND THE MADMAN
母親過世時，我想吃掉她的骨灰,"WHEN MY MOM DIED, I WANTED TO EAT HER ASHES"
爺爺與喵,The Island of Cats
沒有你的生日,BIRTHDAY
馬克白,Macbeth
地獄怪客: 血后的崛起,HELLBOY
人肉農場,THE FARM
就是要妳愛上我,Lock-on Love
製琴師與他的琴人,Carmine Street Guitars
福爾圖娜之瞳,FORTUNA'S EYE
蒙特梭利小教室,Let the Child Be the Guide
威尼斯商人,The Merchant of Venice
柏林我愛你,"Berlin, I Love You"
魔力女聲,TEEN SPIRIT
電影　刀劍亂舞,Touken Ranbu: The Movie
異星探索,PROSPECT
搶救失業大作戰,Les invisibles
倫佐皮亞諾：建築之光,"Renzo Piano, The Architect of Light"
詐騙女神,THE HUSTLE
84那年夏天,SUMMER OF 84
復仇者聯盟:終局之戰,AVENGERS: ENDGAME
芭蕾王者,YULI
愛上太空女神,A.I. Rising
帶我回家,Way Back Home
密室大逃殺,PLAY OR DIE
逆著風的旅行,Yomeddine
世紀包浩斯,Bauhaus Spirit
醜娃娃大冒險,UglyDolls
這條路上: 百年童謠的誕生,This Old Road
巴黎A片現場,Paris Pigalle
過境情謎,Transit
城市獵人,City Hunter
權力殺機,IDOLISM
大冒險家,MISSING LINK
阿松 劇場版,Mr. Osomatsu The Movie
亨利先生的秘密,The Mystery of Henri Pick
七夜怪談,RINGU
極地先鋒,AMUNDSEN
馬拉松武士,SAMURAI MARATHON
名偵探皮卡丘,POKMON Detective Pikachu
親愛的仇人,YOUNGJU
疾速求生,Ride
感謝上帝,By the Grace of God
哥吉拉II怪獸之王,GODZILLA II KING OF THE MONSTERS
我出去透透氣,ALL ABOUT ME
意亂提琴手,THE VIOLIN PLAYER
莒哈絲的漫長等待,The Memoir of War
赤手登峰,Free Solo
懸案密碼-第64號,The Purity of Vengeance
結婚哪有那麼男,MY BIG GAY ITALIAN WEDDING
囧叔大翻身,SINK OR SWIM
愛在九月來臨前,UNTIL I MEET SEPTEMBER'S LOVE
七夜怪談0：貞相大白,RINGU 0
捍衛任務3：全面開戰,JOHN WICK 3
光,GUANG
與神同愛,Believer
阿拉丁,Aladdin
紅色密令,Red Joan
完美搭檔,Inseparable Bros
狗狗的旅程,A DOG’S JOURNEY
鬼入鏡：靈之鬼跡,Dreadout
選情尬翻天,LONG SHOT
文字慾,Dovlatov
極惡人魔,"EXTREMELY WICKED, SHOCKINGLY EVIL AND VILE"
我們的家不是我們的家,ROSIE
招魂修道院,HERETIKS
恐怖大媽,MA
七夜怪談2︰貞子謎咒,RINGU 2
我的教練我們的菜,THE SHINY SHRIMPS
CODE GEASS 復活的魯路修,CODE GEASS Lelouch of the Re;surrection
妳在月夜裡閃耀光輝,YOU SHINE IN THE MOONLIGHT
電流大戰,The Current War
漫長的告別,A Long Goodbye
X戰警：黑鳳凰,X-Men Dark Phoenix
安妮華達 最後一堂課,VARDA BY AGNS
0.0赫茲,0.0MHZ
七夜怪談：復活之路,SPIRAL
寵物當家2,THE SECRET LIFE OF PETS 2
人生最後一場拍賣會,Claire Darling
火箭人,ROCKETMAN
帕爾曼的音樂遍歷,ITZHAK
金錢性騙局,The Fall of the American Empire
李爾王,KING LEAR
逆轉劫局,70 Big Ones
極惡對決,"THE GANGSTER, THE COP, THE DEVIL"
草葉集,Grass
城市獵人劇場版 新宿Private Eyes,CITY HUNTER THE MOVIE: Shinjuku Private Eyes
霹靂嬌鋒,MISS & MRS COPS
地獄家政婦,THE CLEANING LADY
上流教慾,Golden Youth
大叔好神騎,25km/h
安東尼與克莉奧佩特拉,Antony and Cleopatra
小島來了陌生爸爸,My Extraordinary Summer with Tess
沉溺,Athlete
黑鏡 第五季,Black Mirror Season 5
MIB星際戰警：跨國行動,MEN IN BLACK INTERNATIONAL
鏗鏘玫瑰,Wild Rose
阿嬤，不要忘記我,Grandma is All Good
橫越生死線,Little Woods
貞子：起源,SADAKO
玩具總動員 4,Toy Story 4
江邊旅館,Hotel By The River
回路,PULSE
寄生上流,Parasite
劇場版 歌之☆王子殿下真愛KINGDOM,Utano☆Princesama Maji LOVE Kingdom
喬治三世的瘋狂,THE MADNESS OF GEORGE III
飢慾之膚,Les Salopes or The Naturally Wanton Pleasure of Skin
安娜,ANNA
再見了，唇,Farewell Song
震向性教育,Tremors
電影哆啦A夢：大雄的月球探測記,DORAEMON THE MOVIE：NOBITA’S CHRONICLE OF THE MOON EXPLORATION
米開朗基羅：無盡之詩,Michelangelo - Infinito
恰吉,CHILD'S PLAY
海角上的兄妹,Siblings of the Cave
安娜貝爾回家囉,ANNABELLE COMES HOME
AI終結戰,I am Mother
最親愛的陌生兒子,Dear Son
爸媽死了，我卻不想哭,We Are Little Zombies
聖☆哥傳: 第Ⅱ紀,Saint Young Men: 2ND Century
一定要結婚嗎,Marriage Hunting Beauty
駭客任務,The Matrix
寄生下流,AT THE TEMPTATION STORMY NIGHT
她的搖滾滋味,Her Smell
盲國薩滿,Shamans of the Blind Country
首席指揮家,The Conductor
靠譜歌王,YESTERDAY
蜘蛛人：離家日,Spider-Man: Far From Home
電影版 狂賭之淵,KAKEGURUI
怨靈少女組,GHOST SQUAD
浪蕩的心,HEART TO WAVER
人生消極掰,Richard Says Goodbye
玩命憂步,Stuber
AI新紀元,More Human Than Human
痛苦與榮耀,PAIN AND GLORY
歸途,Origin Bound
復仇者聯盟:終局之戰 ,AVENGERS: ENDGAME MARVEL SHORTS
鱷魔,CRAWL
完全邪惡指南,THE FIELD GUIDE TO EVIL
怪奇物語第三季,Stranger Things 3
舞娘辣辣隊,POMS
出走巴黎,Synonyms
仲夏魘,MIDSOMMAR
豢養殺人鬼的女人,THE WOMAN WHO KEEPS A MURDERER
獅子王,The Lion King
電梯男孩的奇蹟,THE LIFT BOY
真犯,The Culprit
平行世界的愛情故事,PARALLEL WORLD LOVE STORY
王者天下,KINGDOM
櫻花開了,Sakura Saku
隱形情人,ABOVE THE SHADOWS
瑪雅蜜蜂大冒險：蜜糖危機,MAYA THE BEE Movie 2–The Honey Games
賭命大富翁,Animal
囧媽的極地任務,WHERE'D YOU GO BERNADETTE
伊剎貝爾,ISABELLE
巴黎之王：闇黑正義,The Emperor of Paris
獅子王 中文版,The Lion King
大人的戀愛情事,LOVE AFFAIR OF ADULT
殺手餐廳,Diner
靈異乍現,BRIGHTBURN
我家有個開心農場,The Biggest Little Farm
怎麼就，結婚了,Trade Your Love
星界離魂,ASTRAL
出發吧！我的脫單假期,Our Happy Holiday
懸案判決,Conviction
再會：大人的禁斷戀愛,REENCOUNTER LOVE OF FORBIDDEN ADULT
生日幻境 Birthday Wonderland,THE WONDER
鬼學怨,DEATH WHISPER
從前，有個好萊塢,Once Upon a Time In Hollywood
我變笨了，請多多指教。,"I GO GAGA, MY DEAR"
緝凶對決,THE BEAST
玩命關頭:特別行動,FAST & FURIOUS: HOBBS & SHAW
憤怒鳥玩電影2：冰的啦！,The Angry Birds Movie 2
金手套虐殺事件,The Golden Glove
死靈屋,LIVING SPACE
乘浪之約,Ride Your Wave
王的文字,The King’s Letters
古劍奇譚之流月昭明,Legend of the ancient sword
殺手寓言,The Fable
你願意嫁給我老公嗎？,After the Wedding
窗中的女巫,THE WITCH IN THE WINDOW
乾杯！戀上日本酒的女子,Kampai! Sake Sisters
咖啡大師,The Coffee Man
在黑暗中說的鬼故事,Scary Stories to Tell in the Dark
炫目之光,BLINDED BY THE LIGHT
偵兇,IL TESTIMONE INVISIBILE
驅魔使者,THE DIVINE FURY
朵拉與失落的黃金城,DORA AND THE LOST CITY OF GOLD
萌友來找碴,At the End of the Day
我在妳的床下,UNDER YOUR BED
飛翔吧!埼玉,Fly Me To The Saitama
BRING THE SOUL: THE MOVIE,BRING THE SOUL: THE MOVIE
普羅米亞,Promare
極限逃生,EXIT
無間行動,The Informer
亂世佳人,GONE WITH THE WIND
深夜加油站遇見抓狂衰事,Burn
寂寞裁縫師,Sometimes Always Never
天氣之子,WEATHERING WITH YOU
戀上小鮮肉,A BROKEN WIFE'S LOVER
憤怒鳥玩電影2：冰的啦,The Angry Birds Movie 2
雙面特務,THE OPERATIVE
淺草的幸福吐司,Pelican: The Tradition of 74-Year-Old Baker
雪地之光,Children of The Snow Land
NG你的人生,SNOWFLAKE
航海王：奪寶爭霸戰,One Piece: Stampede
流浪摩洛哥,Exit Marrakech
洛瑞&火柴男人,Mrs. Lowry & Son
你不快樂嗎?,Aren't you happy
妒火的詛咒-娜迦,Nakee2
全面攻佔3: 天使救援,Angel Has Fallen
匿名的畫作,One Last Deal
4x4 危機四伏,4x4
劇場版FREE! 男子游泳部–Road to the World–夢,Free! – Road to the World – the Dream
母親的愛人,A LOVER OF MOTHER
瑪麗亞的乳房,THE BREAST OF MARIA
仙戒奇緣,Cinderella and the Secret Prince
貓咪知道但是貓咪不說,Only the Cat Knows
牠 第二章,It Chapter Two
魔法禁界,Abigail
大叔之愛電影版,Ossan’s Love the Movie
金翅雀,The Goldfinch
拍厲得,POLAROID
闇戀,THE DARK
忘了浪漫，記得你,ROMANG
魔力抓狂夜,Magical Nights
表妹好辣,MY COUSIN SISTER
生人末日,DAY OF THE DEAD
校外打怪教學,Little Monsters
計高一籌,My Masterpiece
電影版 吹響吧！上低音號～歡迎加入北宇治高中管樂社～,SOUND！EUPHONIUM THE MOVIE~WELCOME TO KITAUJI HIGH SCHOOL CONCERT BAND.
鬼片：即將上映,WARNING：DO NOT PLAY
電影版 吹響吧！上低音號～誓言的終章～,SOUND！EUPHONIUM THE MOVIE~OUR PROMISE：A BRAND NEW DAY
青春豬頭少年不會夢到懷夢美少女,Rascal Does Not Dream of a Dreaming Girl
用甜酒漱口,My Sweet Grappa Remedies
遮蔽的天空,The Sheltering Sky
今天也要用便當出擊,Bento Harassment
情陷斯卡布羅,Scarborough
瞞天機密,OFFICIAL SECRETS
夜鶯的哭聲,The Nightingale
衝擊真相,STRANGE BUT TRUE
舞孃騙很大,Hustlers
唐頓莊園,DOWNTON ABBEY
小小戀歌,Little Love Song
弒婚遊戲,Ready or Not
最後的愛人,LAST LOVE/LOVER
伊索遊戲,Aesop's Game
好小男孩,GOOD BOYS
普羅米亞 : 前日譚,PROMARE : Prequel
七個會議,Whistleblower
魔法少女伊莉雅 百變嘉年華,Fate/kaleid liner Prisma Illya Prisma Phantasm
鋼鐵蒼穹,IRON SKY
壞壞萌雪怪,ABOMINABLE
愛慾每一天,SOMETHING EVERYDAY
海獸之子,CHILDREN OF THE SEA
地下狂熱趴,BEATS
變身,METAMORPHOSIS
劇場版 假面騎士：永遠的平成世代,Kamen Rider Heisei Generations Forever
星際救援,Ad Astra
笑笑羊大電影：外星人來了,Shaun the Sheep Movie: Farmageddon
小丑,JOKER
秘戀之夏,THE SUMMER WHEN A WIFE WAS IN LOVE
汪星人的奇幻漂流,Marona's Fantastic Tale
108悍將,Danger Close
穿越時空要上妳,TIME TRAVEL SEX
信用詐欺師JP,The Confidence Man JP-The Movie
生命的美麗瞬間,DE CHAQUE INSTANT
壞壞萌雪怪（國語版）,ABOMINABLE
教父I,THE GODFATHER I
教父II,THE GODFATHER II
阿嬤養的豬,Esmeralda's Twilight
受難,PASSION
狙擊獵殺: 救援行動,15 Minutes of War
劇場版 假面騎士：永遠的平成世代（中文版）,Kamen Rider Heisei Generations Forever
雙子殺手,GEMINI MAN
殺手互助同盟,KILLERS ANONYMOUS
在時間停止的世界相遇,Love’s Stoppage Time
港都情事,ASSIGNATION
酸世代,ACID
電影版 吹響吧！上低音號～想傳達的旋律～,SOUND！EUPHONIUM THE MOVIE~MAY THE MELODY REACH YOU!
ROGER WATERS  US + THEM,ROGER WATERS  US + THEM
反間遊戲,Blame Game
只有我能喜歡妳,LOVE AND RUN
鋼鐵蒼穹2：惡搞新世紀,IRON SKY 2-THE COMING RACE
藍波:最後一滴血,Rambo: Last Blood
新聞記者,The Journalist
老千：獨眼傑克,TAZZA：ONE EYED JACK
為琴癡狂,God of the Piano
屍樂園：髒比雙拼,ZOMBIELAND: DOUBLE TAP
寂寞診療室,Sibyl
黑金叛徒,The Traitor
小小夜曲,"Little Nights, Little Love"
電影版 壞傢伙們,THE BAD GUYS：REIGN OF CHAOS
屍樂園,ZOMBIELAND
黑魔女2,Maleficent: Mistress of Evil
METALLICA & SAN FRANCISCO SYMPHONY: S&M2,S&M2
鬼船瑪麗號,MARY
柴公園,Shiba-Park
加油吧 ! 李先生,"CHEER UP, MR. LEE"
今夜，我們無罪,"ROUBAIX, A LIGHT"
花鳥籠：網愛調教,FLOWERS AND BIRDS BASKET
我的情敵是冰箱,Yves
遺怨,THE FINAL WISH
風暴過後,The Most Beautiful couple
BanG Dream! FILM LIVE,BanG Dream! FILM LIVE
紫羅蘭永恆花園外傳–永遠與自動手記人偶–,Violet Evergarden - Eternity and the Auto Memory Doll -
海星,STARFISH
閃耀的成人羅曼史,SHINING MODERN HISTORY
《悲慘世界》25周年紀念演唱會,LES MISRABLES 25TH ANNIVERSARY SHOW
超速性追緝,CRASH
偵相,When You No Longer Love Me
阿達一族,THE ADDAMS FAMILY
失憶的總理大臣,Hit Me Anyone One More Time
昆汀超集8,21 Years: Quentin Tarantino
熔爐,THE OLD VIC’S THE CRUCIBLE
慾望果實,FRUIT OF LOVE
萬萬沒想到,Chhichhore
安眠醫生,DOCTOR SLEEP
我的朋友霸王龍,"My TYRANO: Together, Forever"
失戀殺人,LOST LOVE MURDER
男人不敗,MAN OF MEN
再見，未成年,ANOTHER CHILD
王牌辯士,TALKING THE PICTURES
吹哨奇案,The Whistlers
失竊神畫：卡拉瓦喬,The Stolen Caravaggio
魔鬼終結者：黑暗宿命,Terminator: Dark Fate
抱歉我們錯過你了,Sorry We Missed You
兔嘲男孩,JOJO RABBIT
廢宅人生,RELAXER
神機有毛病,Jexi
布魯克林孤兒,MOTHERLESS BROOKLYN
鬼玩伴,The Only Mom
懸案密碼前傳-瓶中信,A Conspiracy of Faith
絕鯊47：猛鯊出籠,47 METERS DOWN：UNCAGED
巴黎電幻世代,Eden
重返17歲,ReLife
布紐爾 超現實人生,Bunuel in the Labyrinth of the Turtles
山田孝之的痛苦與榮耀,"TAKAYUKI YAMADA DOCUMENTARY: No Pain, No Gain"
怪奇超自然,STRANGE NATURE
那一夜,One Night
冰雪奇緣2,FROZEN 2
女神們的下午茶,Nothing Like A Dame
可愛惡魔,CUTE DEVIL
救火奶爸,PLAYING WITH FIRE
霹靂嬌娃,CHARLIE'S ANGELS
決戰中途島,Midway
女孩要革命,Papicha
野蠻迷林,Savage
許怨房,The Room
男人真命苦 真人版電影,Miyamoto
麂皮：永不滿足,Suede: The Insatiable Ones
活死人之眼,EYES OF THE DEAD
妓生回憶錄,GISAENG
HELLO WORLD,HELLO WORLD
82年生的金智英,"KIM JI-YOUNG, BORN 1982"
改革好萊塢,This Changes Everything
悲慘世界,Les misrables
潛艦追緝,The Wolf's Call
去年聖誕節,LAST CHRISTMAS
烈火偷情,Queen of Hearts
血腥萬聖節,Trick
EYES ON ME : THE MOVIE,EYES ON ME : THE MOVIE
幸福試用期,Joel
與昨日同行,Two Pasts Towards Tomorrow
抓狂博物館,LOST AND FOUND
SHAKIRA IN CONCERT: EL DORADO WORLD TOUR,EL DORADO WORLD TOUR LIVE AT THE FORUM
一屍到底番外篇：好萊塢大作戰！,ONE CUT OF THE DEAD SPIN-OFF：IN HOLLYWOOD
特約經紀公司,Special Actors
冰雪奇緣2 (中文版),FROZEN 2
每個月來訪一次的月經醬,Little Miss Period
暴走曼哈頓,21 Bridges
賽道狂人,FORD V. FERRARI
夕霧花園,THE GARDEN OF EVENING MISTS
茱蒂,Judy
她的名字叫薔薇,ROSEBUD
我們的美好時光,BEAUTIFUL DAYS
添好孕,The HIKITA's Are Expecting!
花生醬獵鷹的願望,Peanut Butter Falcon
鋒迴路轉,KNIVES OUT
巴黎小情聖,Edmond
暗影人,THE SHADOW MAN
大說謊家,The Good Liar
尋愛夢工廠,TRAUMFABRIK
真愛裁會贏,Sui Dhaaga: Made in India
人間失格：太宰治與他的3個女人,NO LONGER HUMAN
鹿皮奇談,Deerskin
HUMAN LOST 人間失格,HUMAN LOST
呆萌特務,MARNIE’S WORLD
熱氣球飛行家,THE AERONAUTS
野蠻遊戲：全面晉級,JUMANJI：THE NEXT LEVEL
世紀球王 馬拉度納,Diego Maradona
岳父受死吧,WHY DON'T YOU JUST DIE!
不完美的正義,Just Mercy
餓魔餐廳,THE RESTAURANT
奪魂露營車,TOYBOX
唯你是愛,Only You
茱莉小姐,JULIE
屍控療法,RABID
黑計畫,Black Money
怨靈古堡,APPARITION
給我一個參選的理由,I'M NOT RUNNING
Cunningham 機遇之舞,Cunningham
別告訴她,THE FAREWELL
外出偷馬,Out Stealing Horses
朝鮮花美男,HOMME FATALE
燃燒女子的畫像,Portrait of A Lady on Fire
黑色聖誕節,BLACK CHRISTMAS
倒數計死,Countdown
蜜蜂與遠雷,Listen to the Universe
我的爸媽好性福,SUNKIST FAMILY
STAR WARS : 天行者的崛起,Star Wars: The Rise of Skywalker
舞力決戰,THE BATTLE
復仇母親,Bring Me Home
動畫電影版 我想吃掉你的胰臟,I WANT TO EAT YOUR PANCREAS
陰兒,Stray
8級警戒,CODE 8
哈利路亞!,ALLELUJAH!
她們,LITTLE WOMEN
鳳梧洞戰役,THE BATTLE：ROAR TO VICTORY
海上鋼琴師,THE LEGEND OF 1900
惡靈20,Prey
孩子的自白,MY FIRST CLIENT
特別嘉賓,Guest of Honour
逃出天堂島,Paradise Hills
時光沙漏,Fragtime
竊竊屍語,THE NIGHT SHIFTER
在黑暗中漫舞：20週年數位修復版,Dancer in the Dark
這一次不再錯過你,DEW
大監獄行動,Patients of a Saint
白頭山：半島浩劫,ASHFALL
CATS 貓,CATS
美好拾光公司,La Belle Epoque
哥哥戀愛了，我怎麼辦!?,A Brother's Love
星星知我心,PROXIMA
翻閱歎異抄,TANNISHO WO HIRAKU
紅鞋公主與七矮人,Red Shoes and the Seven Dwarfs
然後我們跳了舞,And Then We Danced
驅魔直播,The Cleansing hour
鬼屋實錄：惡魔之家,DEMON HOUSE
單身三人行,"LOVE, AGAIN"
我們與愛的距離,HOUSE OF HUMMINGBIRD
重磅腥聞,BOMBSHELL
國王與我,THE KING & I: FROM THE LONDON PALLADIUM
A+瞎妹,BOOKSMART
海鯖家,FISH IN THE OCEAN
寒單,HAN DAN
大三元,BIG THREE DRAGONS
我們的青春，在台灣,OUR YOUTH IN TAIWAN
瘋狂電視台瘋電影,"IT'S A MAD, MAD, MAD, MAD SHOW"
金星人愛情故事,KINSEIJIN LOVE STORY
乳‧房,Breast and House
Bra太子,Gang of Bra
一吻定情,FALL IN LOVE AT FIRST KISS
緝魔,Deep Evil
幕後,The Making of
五月天 人生無限公司,LIFE
夢想騎士的誠品之旅,eslite - A Dreamer’s Quest
一念,A Decision
我們與惡的距離,The World Between US
光,Light
疑霧公堂,Mystery in the Mist
“電影是我的生命”－柯俊雄的電影人生,Ko Style l Movie Style l Life Style
登月,To the Moon
亡命之途,PARADISE NEXT
阿虎,A - Hu
幻術,THE SHOOTING OF 319
出發,Run For Dream
我的第一任,Always miss you
Oli邊境,A Song Within Us
日落之前,LOVE BEFORE SUNSET
失身記,Bodyless
樂獄,Bad Boy Symphony
在天堂的路上,Say Goodbye To The Crowed Paradise
傻傻愛你，傻傻愛我,"A fool in love, love like a fool"
留給未來的殘影,Afterimage for tomorrow
祝我好好孕,Our Happy Birth Day
不滅之光,Immortal Life
如常,Walking Dharma
後勁：王建民,LATE LIFE：THE CHIEN-MING WANG STORY
青少年哪吒,Rebels Of The Neon God
愛情萬歲,Vive l'Amour
河流,The River
驚夢49天,49DAYS
一起衝線,Fabulous40
紅娘的異想世界之在西廂,The Doppelgnger
華麗上班族之生活與生存,Design for Living
命運建築師之遠大前程,Grand Expectations
紅衣小女孩:魔神仔,The Tag Along VR
我的青春都是你,LOVE THE WAY YOU ARE
董仔的人,Mr. Buddha
最乖巧的殺人犯,The Magnificent Bobita
菠蘿蜜,Boluomi
灼人秘密,NINA WU
自助旅行,Solo traveling
五月天追夢3DNA,MAYDAY 3DNA
致親愛的孤獨者,"Dear Loneliness,"
江湖無難事,"The Gangs,the Oscars,and the walking dead"
第九分局,The 9th Precinct
祈禱,INORI
山行,Only the mountain remains
下半場,We Are Champions
與失智共舞,DANCING WITH DEMENTIA
野雀之詩,Wild Sparrow
我親愛的父親,MY DEAR FATHER
那個我最親愛的陌生人,SYNAPSES
不散（4K修復版）,Goodbye Dragon Inn (4K Restoration Version)
5x1,5x1
盲人律師,Invisible Justice
未來無恙,Turning 18
返校,Detention
陽光普照,A Sun
看見台灣,Beyond Beauty
樂園,The Paradise
陪你很久很久,STAND BY ME
工寮,Hut/Gubuk(印尼語)
大餓,Heavy Craving
聖人大盜,The Last Thieves
Thunderbolt Fantasy 西幽玹歌,Thunderbolt Fantasy -Bewitching Melody of the West-
盲人律師(口述影像版),Invisible Justice
蚵豐村,Ohong Village
不想1個人,Leave me alone
海上花,Flower Of Shanghai
一家之主,RECLAIM
《釧兒》原創中文音樂劇,Reed Unbroken - A Musical
惡之畫,The Painting of Evil
罪夢者,Nowhere Man
期末考,Final Exam
失路人,Some who was lost
咕嚕米的眼睛(首部曲+二部曲),Gloomy Eyes Vo1.1 + Vol.2
絕世情歌,One Headlight
為你存在的每一天,Because of you
主管，再見！,"See You, Sir"
祭旗,Memory Flag
重甲機神：神降臨,DEUS EX BARYON
狂飆一夢,The Price of Democracy
黑熊來了,Formosan B.B is coming
我的靈魂是愛做的,The Teacher
還有一些樹,The Tree Remembers
金魚,Gold Fish
大約在冬季,Somewhere Winter
喜從天降,Sent From Above
殺手撿到槍,Killer Not Stupid
食在逢甲：夜市的創業之路,A Slice of Fengjia: The Ultimate Street Food Arena
阿嬤的放屁車,GRANDMA'S FARTING SCOOTER
主播愛你唷,LIVE STREAM FROM YUKI <3
墜落的聲音,THE SOUND OF FALLING
蟾鳴,Memory of Xingang
叢林深處,Deep Forest
當 一個人,where am i going?
何以為家,HOME?
SI SO MI,SI SO MI
虎父的妞妞未而立,"The Horrible Thirty: Me, My Father and Richard the Tiger"
打掃,Perfectly Spotless
樂園,Last Stop: Paradise
(迷)留,St(r)ay
Puppy Love,Puppy Love
伏魔殿,Temple of Devilbuster
睡前運動,Sleep Disorder
第一響槍,The Roar
Human Box,Human Box
女兒牆,Before & After
她他,Make a Wish
小洋,The Child of Nowhere
未來奇案,Future Mysteries
漣漪,Reprise
多幾咧？,Do-ji-le?
臨時工,Temporary
去年火車經過的時候,Last Year When the Train Passed by
